Date, Open, High, Low, Close, Volume
02/24/22, 87.00, 98.00, 87.00, 93.25, 4100
02/23/22, 89.00, 94.00, 89.00, 90.75, 1900
02/22/22, 82.00, 89.00, 82.00, 85.50, 200
02/18/22, 82.00, 82.00, 82.00, 82.00, 300
02/08/22, 76.00, 76.00, 76.00, 76.00, 100
02/07/22, 77.00, 77.00, 77.00, 77.00, 200
02/03/22, 77.50, 77.50, 77.50, 77.50, 100
02/01/22, 70.50, 70.50, 70.50, 70.50, 100
01/31/22, 70.50, 70.50, 70.50, 70.50, 100
01/27/22, 77.00, 77.00, 77.00, 77.00, 100
01/26/22, 70.25, 70.25, 70.25, 70.25, 300
01/24/22, 70.50, 70.50, 70.50, 70.50, 100
01/21/22, 73.00, 73.00, 73.00, 73.00, 100
01/19/22, 73.00, 73.00, 73.00, 73.00, 1200
01/18/22, 73.00, 73.00, 73.00, 73.00, 1400
01/14/22, 73.00, 73.00, 73.00, 73.00, 300
01/13/22, 72.50, 72.50, 72.50, 72.50, 1500
01/12/22, 72.00, 72.50, 72.00, 72.25, 2000
01/11/22, 73.00, 73.00, 73.00, 73.00, 700
01/10/22, 73.00, 73.00, 70.50, 72.75, 1600
01/07/22, 73.00, 73.00, 73.00, 73.00, 500
01/06/22, 72.00, 72.00, 72.00, 72.00, 400
12/28/21, 70.00, 70.00, 70.00, 70.00, 4000
12/23/21, 70.50, 70.50, 70.50, 70.50, 4000
12/22/21, 72.00, 72.00, 72.00, 72.00, 500
12/08/21, 72.00, 72.00, 72.00, 72.00, 100
12/07/21, 70.00, 72.00, 70.00, 71.00, 400
12/06/21, 70.00, 70.00, 70.00, 70.00, 100
12/03/21, 70.00, 70.00, 70.00, 70.00, 600
12/02/21, 70.00, 70.00, 70.00, 70.00, 3000
11/30/21, 70.00, 70.00, 70.00, 70.00, 500
11/29/21, 70.00, 70.00, 70.00, 70.00, 8200
11/26/21, 70.00, 70.00, 70.00, 70.00, 2000
11/25/21, 67.00, 70.00, 65.00, 67.25, 2900
11/23/21, 70.00, 70.00, 65.25, 68.75, 3500
