Date, Open, High, Low, Close, Volume
02/24/22, 64.50, 64.50, 64.50, 64.50, 100
02/23/22, 72.00, 72.00, 64.00, 64.25, 10800
02/22/22, 66.00, 69.00, 66.00, 66.25, 2100
02/21/22, 66.00, 66.00, 65.00, 65.75, 3000
02/18/22, 66.00, 66.00, 66.00, 66.00, 100
02/17/22, 62.00, 66.00, 62.00, 63.25, 1300
02/16/22, 62.00, 64.00, 62.00, 63.00, 2800
02/15/22, 62.00, 62.00, 61.50, 62.00, 1600
02/14/22, 62.00, 62.00, 62.00, 62.00, 200
02/11/22, 62.00, 62.00, 60.00, 61.00, 6200
02/10/22, 62.00, 62.00, 62.00, 62.00, 1000
02/09/22, 61.00, 61.00, 61.00, 61.00, 1700
02/08/22, 62.00, 62.00, 62.00, 62.00, 1300
02/07/22, 62.00, 62.00, 61.00, 61.50, 1500
02/04/22, 57.00, 57.25, 57.00, 57.00, 500
02/03/22, 60.00, 65.00, 59.25, 62.25, 800
02/02/22, 59.25, 59.25, 59.25, 59.25, 200
02/01/22, 54.00, 54.00, 54.00, 54.00, 600
01/31/22, 59.00, 59.25, 59.00, 59.25, 400
01/28/22, 54.00, 54.00, 54.00, 54.00, 200
01/27/22, 52.00, 59.50, 50.00, 50.50, 3300
01/26/22, 54.25, 54.50, 54.25, 54.25, 1700
01/25/22, 60.25, 60.25, 60.25, 60.25, 1900
01/24/22, 65.50, 68.25, 65.00, 66.75, 2300
01/21/22, 69.00, 69.50, 65.50, 68.50, 1300
01/20/22, 69.50, 72.00, 69.00, 70.25, 8600
01/19/22, 69.50, 76.00, 64.00, 72.75, 8000
01/18/22, 69.50, 69.50, 69.00, 69.50, 12300
01/17/22, 62.00, 63.75, 62.00, 63.25, 9600
01/14/22, 59.00, 59.25, 49.20, 58.00, 4200
01/13/22, 54.00, 54.00, 54.00, 54.00, 6400
01/12/22, 49.20, 49.20, 49.20, 49.20, 100
01/11/22, 44.75, 44.75, 44.75, 44.75, 700
01/10/22, 40.70, 40.70, 40.70, 40.70, 200
01/07/22, 37.05, 37.05, 37.05, 37.05, 300
01/06/22, 33.65, 34.00, 33.65, 33.70, 800
01/05/22, 30.60, 30.60, 30.60, 30.60, 200
12/30/21, 33.95, 33.95, 33.95, 33.95, 100
12/29/21, 31.00, 31.00, 31.00, 31.00, 100
12/28/21, 33.95, 33.95, 33.95, 33.95, 500
12/21/21, 33.90, 33.90, 33.90, 33.90, 400
12/10/21, 34.00, 34.00, 34.00, 34.00, 400
12/09/21, 31.50, 31.50, 31.50, 31.50, 1500
12/03/21, 35.00, 35.00, 35.00, 35.00, 100
12/02/21, 31.95, 31.95, 31.95, 31.95, 300
12/01/21, 35.50, 35.50, 35.50, 35.50, 100
11/29/21, 32.50, 32.50, 32.30, 32.45, 900
11/26/21, 35.50, 35.50, 35.50, 35.50, 400
11/19/21, 35.50, 35.50, 35.50, 35.50, 100
11/16/21, 32.90, 32.90, 32.90, 32.90, 500
11/15/21, 32.50, 32.50, 32.50, 32.50, 400
11/12/21, 33.50, 33.50, 32.50, 32.95, 900
11/11/21, 36.00, 36.00, 36.00, 36.00, 100
11/10/21, 36.00, 36.00, 36.00, 36.00, 300
11/04/21, 36.00, 36.00, 36.00, 36.00, 400
11/03/21, 36.00, 36.00, 36.00, 36.00, 100
10/28/21, 36.00, 36.00, 36.00, 36.00, 400
10/26/21, 35.00, 35.00, 35.00, 35.00, 800
10/19/21, 36.00, 36.00, 36.00, 36.00, 200
10/18/21, 36.00, 36.00, 36.00, 36.00, 200
10/04/21, 36.00, 36.00, 36.00, 36.00, 300
10/01/21, 35.00, 35.00, 35.00, 35.00, 100
09/28/21, 34.00, 34.00, 34.00, 34.00, 100
09/22/21, 31.00, 31.00, 31.00, 31.00, 100
09/21/21, 31.00, 31.00, 31.00, 31.00, 8400
09/20/21, 31.00, 31.00, 31.00, 31.00, 200
09/13/21, 33.50, 33.50, 32.50, 32.60, 24000
09/09/21, 33.50, 33.50, 33.50, 33.50, 100
09/08/21, 35.00, 35.00, 35.00, 35.00, 1500
09/07/21, 35.00, 35.00, 35.00, 35.00, 300
09/02/21, 35.00, 35.00, 35.00, 35.00, 2200
08/31/21, 33.50, 33.50, 33.50, 33.50, 2900
08/27/21, 35.00, 35.00, 35.00, 35.00, 2300
08/24/21, 35.00, 35.00, 35.00, 35.00, 1000
08/23/21, 35.00, 35.00, 35.00, 35.00, 1700
08/18/21, 35.00, 35.00, 35.00, 35.00, 200
08/16/21, 34.50, 34.50, 34.50, 34.50, 100
08/12/21, 31.50, 31.50, 31.50, 31.50, 100
08/11/21, 35.00, 35.00, 35.00, 35.00, 1600
08/04/21, 35.00, 35.00, 35.00, 35.00, 1600
08/03/21, 35.00, 35.00, 35.00, 35.00, 700
08/02/21, 37.80, 37.80, 35.00, 35.25, 1100
07/30/21, 35.20, 35.20, 35.20, 35.20, 1000
07/29/21, 36.00, 36.00, 35.20, 35.40, 1100
07/26/21, 35.20, 35.20, 35.20, 35.20, 100
07/23/21, 32.95, 32.95, 31.00, 32.00, 200
07/19/21, 31.00, 31.00, 31.00, 31.00, 400
07/16/21, 30.00, 30.00, 30.00, 30.00, 1200
07/15/21, 27.50, 27.50, 27.50, 27.50, 100
07/13/21, 27.75, 28.00, 27.75, 28.00, 13000
07/08/21, 28.00, 28.00, 28.00, 28.00, 100
07/06/21, 28.75, 28.75, 28.75, 28.75, 100
07/02/21, 26.50, 26.50, 26.50, 26.50, 100
06/28/21, 25.00, 27.95, 25.00, 26.50, 200
06/25/21, 26.00, 26.00, 25.45, 25.80, 300
06/23/21, 25.45, 25.45, 25.45, 25.45, 200
06/21/21, 26.00, 26.00, 26.00, 26.00, 100
06/18/21, 25.45, 25.45, 25.45, 25.45, 100
06/17/21, 24.30, 24.30, 24.30, 24.30, 800
06/14/21, 24.50, 24.50, 24.50, 24.50, 200
06/07/21, 24.20, 24.20, 24.20, 24.20, 1500
06/04/21, 24.20, 24.20, 24.20, 24.20, 100
05/24/21, 24.20, 24.20, 24.20, 24.20, 100
05/19/21, 22.00, 22.00, 22.00, 22.00, 200
05/17/21, 22.00, 22.00, 22.00, 22.00, 400
05/11/21, 20.50, 20.50, 20.50, 20.50, 400
05/07/21, 20.25, 20.25, 20.25, 20.25, 200
05/04/21, 20.00, 20.00, 20.00, 20.00, 200
04/30/21, 21.60, 21.60, 21.60, 21.60, 1000
04/15/21, 21.60, 21.60, 21.60, 21.60, 38600
04/13/21, 24.00, 24.00, 24.00, 24.00, 600
04/07/21, 24.00, 24.00, 24.00, 24.00, 100
03/31/21, 22.15, 22.15, 22.15, 22.15, 1500
03/09/21, 23.40, 24.00, 22.00, 22.15, 2100
03/08/21, 23.40, 23.40, 23.40, 23.40, 100
03/04/21, 26.00, 26.00, 26.00, 26.00, 100
02/23/21, 24.00, 24.00, 24.00, 24.00, 100
02/12/21, 24.20, 24.20, 24.00, 24.00, 2200
01/28/21, 22.00, 22.00, 22.00, 22.00, 100
01/27/21, 24.00, 24.00, 24.00, 24.00, 200
01/21/21, 24.00, 24.00, 24.00, 24.00, 500
01/19/21, 24.00, 24.00, 22.00, 23.00, 200
01/08/21, 24.00, 24.00, 24.00, 24.00, 200
01/06/21, 24.00, 24.00, 24.00, 24.00, 100
01/05/21, 22.50, 22.50, 22.50, 22.50, 100
12/23/20, 23.00, 23.00, 22.00, 22.00, 50000
12/22/20, 22.50, 22.50, 22.50, 22.50, 100
12/18/20, 25.00, 25.00, 25.00, 25.00, 100
12/11/20, 23.00, 23.00, 23.00, 23.00, 100
12/03/20, 22.00, 22.00, 22.00, 22.00, 7000
12/02/20, 22.50, 22.50, 22.50, 22.50, 300
11/30/20, 22.50, 22.50, 22.50, 22.50, 100
11/27/20, 22.50, 22.50, 22.50, 22.50, 100
11/26/20, 22.50, 22.50, 22.50, 22.50, 100
11/23/20, 22.05, 22.05, 21.60, 21.60, 58600
11/16/20, 21.80, 21.80, 21.80, 21.80, 500
11/13/20, 21.80, 21.80, 21.80, 21.80, 100
11/12/20, 22.00, 22.00, 22.00, 22.00, 100
11/11/20, 22.00, 22.00, 22.00, 22.00, 72300
11/10/20, 23.00, 23.00, 23.00, 23.00, 100
11/04/20, 22.50, 22.50, 22.50, 22.50, 200
11/02/20, 25.00, 25.00, 25.00, 25.00, 100
10/28/20, 25.00, 25.00, 22.50, 23.75, 200
10/27/20, 25.00, 25.00, 25.00, 25.00, 2700
10/21/20, 25.00, 25.00, 25.00, 25.00, 100
10/13/20, 24.00, 24.00, 24.00, 24.00, 100
10/07/20, 22.50, 22.50, 22.50, 22.50, 100
09/30/20, 22.35, 22.35, 22.30, 22.30, 1700
09/29/20, 22.35, 22.35, 22.35, 22.35, 100
09/23/20, 22.40, 22.40, 22.40, 22.40, 2000
09/17/20, 22.35, 22.35, 22.35, 22.35, 2100
09/14/20, 22.30, 22.30, 22.30, 22.30, 100
09/11/20, 23.25, 23.50, 23.25, 23.45, 7000
09/08/20, 23.25, 23.25, 22.50, 22.55, 10600
09/07/20, 23.25, 23.25, 23.25, 23.25, 100
09/04/20, 23.30, 25.40, 23.15, 23.35, 2200
08/28/20, 23.15, 23.15, 23.15, 23.15, 1000
08/27/20, 23.10, 23.15, 23.10, 23.15, 1200
08/26/20, 23.10, 23.10, 23.10, 23.10, 1000
08/24/20, 23.10, 23.10, 23.10, 23.10, 1500
08/17/20, 23.10, 23.10, 23.10, 23.10, 1300
08/14/20, 21.05, 21.05, 21.05, 21.05, 200
08/13/20, 21.00, 21.00, 21.00, 21.00, 1000
08/07/20, 22.50, 22.50, 22.50, 22.50, 1000
08/06/20, 22.50, 22.50, 22.50, 22.50, 1600
08/05/20, 22.50, 22.50, 22.50, 22.50, 700
07/29/20, 22.50, 22.50, 22.50, 22.50, 200
07/28/20, 22.50, 22.50, 22.50, 22.50, 100
07/17/20, 22.70, 22.80, 22.50, 22.50, 11500
07/16/20, 22.80, 22.80, 22.80, 22.80, 100
07/15/20, 22.70, 22.70, 22.70, 22.70, 1500
07/10/20, 22.70, 22.70, 22.70, 22.70, 100
07/09/20, 23.00, 23.00, 23.00, 23.00, 2000
07/08/20, 23.00, 23.00, 23.00, 23.00, 4600
07/07/20, 23.25, 23.25, 22.85, 23.10, 5600
07/06/20, 25.00, 25.00, 25.00, 25.00, 1500
07/03/20, 24.90, 25.00, 24.90, 25.00, 5200
07/01/20, 22.75, 22.75, 22.75, 22.75, 6600
06/24/20, 22.70, 22.70, 22.70, 22.70, 100
06/23/20, 22.70, 22.70, 22.70, 22.70, 100
06/17/20, 22.70, 22.70, 22.70, 22.70, 500
06/15/20, 20.65, 20.65, 20.65, 20.65, 300
06/12/20, 20.65, 20.65, 20.65, 20.65, 100
06/11/20, 22.70, 22.70, 22.70, 22.70, 100
06/09/20, 22.70, 22.70, 22.70, 22.70, 100
06/04/20, 20.00, 22.00, 20.00, 20.65, 3200
06/03/20, 20.00, 20.00, 20.00, 20.00, 100
05/29/20, 21.15, 21.15, 21.15, 21.15, 100
05/19/20, 23.50, 23.50, 23.50, 23.50, 200
05/18/20, 23.50, 23.50, 23.50, 23.50, 300
05/06/20, 21.60, 21.60, 21.60, 21.60, 100
05/05/20, 23.50, 23.50, 23.50, 23.50, 100
04/27/20, 23.50, 23.50, 23.50, 23.50, 200
04/22/20, 23.50, 23.50, 23.50, 23.50, 200
04/21/20, 23.50, 23.50, 23.50, 23.50, 100
04/15/20, 22.00, 22.00, 22.00, 22.00, 200
04/03/20, 22.40, 22.40, 22.40, 22.40, 100
03/24/20, 24.00, 24.00, 24.00, 24.00, 100
03/12/20, 24.00, 24.00, 24.00, 24.00, 200
03/11/20, 24.00, 24.00, 23.40, 24.00, 30200
03/06/20, 23.40, 23.40, 23.40, 23.40, 200
02/28/20, 26.00, 26.00, 26.00, 26.00, 100
02/24/20, 24.00, 24.00, 24.00, 24.00, 300
02/21/20, 24.00, 24.00, 24.00, 24.00, 100
02/10/20, 22.00, 22.00, 22.00, 22.00, 1200
02/07/20, 22.00, 22.00, 22.00, 22.00, 600
02/05/20, 24.00, 24.00, 22.00, 24.00, 238900
02/04/20, 24.00, 24.00, 24.00, 24.00, 1000
02/03/20, 22.00, 22.00, 22.00, 22.00, 100
01/30/20, 24.00, 24.00, 24.00, 24.00, 500
01/29/20, 24.00, 24.00, 24.00, 24.00, 500
01/28/20, 26.00, 26.00, 26.00, 26.00, 100
01/22/20, 24.00, 24.00, 24.00, 24.00, 100
01/17/20, 26.00, 26.00, 26.00, 26.00, 100
01/10/20, 24.00, 24.00, 24.00, 24.00, 200
01/09/20, 26.00, 26.00, 26.00, 26.00, 200
01/08/20, 24.00, 24.00, 24.00, 24.00, 100
01/06/20, 24.00, 24.00, 24.00, 24.00, 100
12/31/19, 26.00, 26.00, 26.00, 26.00, 100
12/27/19, 26.00, 26.00, 26.00, 26.00, 200
12/23/19, 24.00, 24.00, 24.00, 24.00, 10800
12/20/19, 22.00, 22.00, 22.00, 22.00, 100
12/09/19, 22.00, 22.00, 22.00, 22.00, 100
12/05/19, 23.05, 23.05, 23.05, 23.05, 100
12/03/19, 21.05, 21.05, 21.05, 21.05, 1200
12/02/19, 21.05, 21.05, 21.05, 21.05, 2400
11/26/19, 21.15, 21.15, 21.15, 21.15, 100
11/20/19, 21.05, 21.05, 21.05, 21.05, 100
11/19/19, 21.05, 21.10, 21.05, 21.05, 1000
11/05/19, 21.00, 21.00, 21.00, 21.00, 100
11/04/19, 23.00, 24.00, 22.00, 23.00, 200
