Company Name,Ticker,Industry
 Eaagads Ltd Ord 1.25 AIM ,EGAD,Agricultural
 Kakuzi Plc Ord.5.00 ,KUKZ,Agricultural
 Kapchorua Tea Co. Ltd Ord Ord 5.00 AIM ,KAPC,Agricultural
 The Limuru Tea Co. Plc Ord 20.00AIMS,LIMT,Agricultural
 Sasini Plc Ord 1.00,SASN,Agricultural
 Williamson Tea Kenya Ltd Ord 5.00 AIM,WTK,Agricultural
 Car & General (K) Ltd Ord 5.00,CGEN,Automobile and Accessories
 Barclays Bank of Kenya Ltd Ord 0.50,BBK,Banking
 BK Group Plc Ord 0.80,BKG,Banking
 Diamond Trust Bank Kenya Ltd Ord 4.00,DTK,Banking
 Equity Group Holdings Plc Ord 0.50,EQTY,Banking
 HF Group Plc Ord 5.00,HFCK,Banking
 I&M Holdings Plc Ord 1.00 ,IMH,Banking
 KCB Group Plc Ord 1.00,KCB,Banking
 National Bank of Kenya Ltd Ord 5.00,NBK,Banking
 NIC Group Plc Ord 5.00,NCBA,Banking
 Stanbic Holdings Plc ord.5.00,SBIC,Banking
 Standard Chartered Bank Kenya Ltd Ord 5.00,SCBK,Banking
 The Co-operative Bank of Kenya Ltd Ord 1.00,COOP,Banking
 Deacons (East Africa) Plc Ord 2.50AIMS,DCON,Commercial and Services
 Eveready East Africa Ltd Ord.1.00,EVRD,Commercial and Services
 Express Kenya Ltd Ord 5.00 AIMS,XPRS,Commercial and Services
 Kenya Airways Ltd Ord 5.00,KQ,Commercial and Services
 Longhorn Publishers Plc Ord 1.00AIMS,LKL,Commercial and Services
 Nairobi Business Ventures Ltd Ord. 1.00 GEMS,NBV,Commercial and Services
 Nation Media Group Ltd Ord. 2.50,NMG,Commercial and Services
 Sameer Africa Plc Ord 5.00,SMER,Commercial and Services
 Standard Group Plc Ord 5.00,SGL,Commercial and Services
 TPS Eastern Africa  Ltd Ord 1.00  ,TPSE,Commercial and Services
 Uchumi Supermarket Plc Ord 5.00,UCHM,Commercial and Services
 WPP Scangroup Plc Ord 1.00,SCAN,Commercial and Services
 ARM Cement Plc Ord 1.00,ARM,Construction and Allied
 Bamburi Cement Ltd Ord 5.00,BAMB,Construction and Allied
 Crown Paints Kenya Plc Ord 5.00,CRWN,Construction and Allied
 E.A.Cables Ltd Ord 0.50,CABL,Construction and Allied
 E.A.Portland Cement Co. Ltd Ord 5.00,PORT,Construction and Allied
 KenGen Co. Plc Ord. 2.50,KEGN,Energy and Petroleum
 Kenya Power & Lighting  Co Ltd Ord 2.50,KPLC,Energy and Petroleum
 Kenya Power & Lighting  Co Ltd 4%,KPLC.P0004,Energy and Petroleum
 Kenya Power & Lighting  Co Ltd 7%,KPLC.P0007,Energy and Petroleum
 Total Kenya Ltd Ord 5.00,TOTL,Energy and Petroleum
 Umeme Ltd Ord 0.50,UMME,Energy and Petroleum
 Britam Holdings Plc Ord 0.10,BRIT,Insurance
 CIC Insurance Group Ltd ord.1.00,CIC,Insurance
 Jubilee Holdings Ltd Ord 5.00,JUB,Insurance
 Kenya Re Insurance Corporation Ltd Ord 2.50,KNRE,Insurance
 Liberty Kenya Holdings Ltd Ord.1.00,LBTY,Insurance
 Sanlam Kenya Plc Ord 5.00,SLAM,Insurance
 Centum Investment Co Plc Ord 0.50 ,CTUM,Investment
 Home Afrika Ltd Ord 1.00,HAFR,Investment
 Kurwitu Ventures Ltd Ord 100.00,KURV,Investment
 Olympia Capital Holdings ltd Ord 5.00,OCH,Investment
Trans-Century Plc Ord 0.50AIMS,TCL,Investment
 Nairobi Securities Exchange Plc Ord 4.00 ,NSE,Investment Services
 B.O.C Kenya Plc Ord 5.00,BOC,Manufacturing & Allied
 British American Tobacco Kenya Plc Ord 10.00 ,BAT,Manufacturing & Allied
 Carbacid Investments Ltd Ord 1.00,CARB,Manufacturing & Allied
 East African Breweries Ltd Ord 2.00,EABL,Manufacturing & Allied
 Flame Tree Group Holdings Ltd Ord 0.825,FTGH,Manufacturing & Allied
 Kenya Orchards Ltd Ord 5.00 AIM,ORCH,Manufacturing & Allied
 Mumias Sugar Co. Ltd Ord 2.00,MSC,Manufacturing & Allied
 Unga Group Ltd Ord 5.00,UNGA,Manufacturing & Allied
 Safaricom Plc Ord 0.05,SCOM,Telecommunications
Stanlib Fahari I-REIT,FAHR,Real Estate Investment Trust
NEW GOLD ETF,GLD,Exchange Traded Fund
