Date, Open, High, Low, Close, Volume
11/15/18, 0.45, 0.45, 0.45, 0.45, 112600
11/14/18, 0.45, 0.45, 0.45, 0.45, 27500
11/13/18, 0.45, 0.45, 0.45, 0.45, 114100
11/12/18, 0.45, 0.45, 0.45, 0.45, 200600
11/08/18, 0.45, 0.45, 0.45, 0.45, 100000
11/02/18, 0.45, 0.45, 0.45, 0.45, 73500
10/31/18, 0.45, 0.45, 0.45, 0.45, 154000
10/30/18, 0.45, 0.45, 0.45, 0.45, 32100
10/29/18, 0.45, 0.45, 0.45, 0.45, 553500
10/26/18, 0.45, 0.45, 0.45, 0.45, 500
10/24/18, 0.45, 0.45, 0.45, 0.45, 494600
10/23/18, 0.45, 0.45, 0.45, 0.45, 140600
10/22/18, 0.45, 0.45, 0.45, 0.45, 462200
10/19/18, 0.45, 0.45, 0.45, 0.45, 103800
10/18/18, 0.45, 0.45, 0.45, 0.45, 251500
10/17/18, 0.45, 0.45, 0.45, 0.45, 148200
10/16/18, 0.45, 0.45, 0.45, 0.45, 36400
10/15/18, 0.45, 0.45, 0.45, 0.45, 350100
10/12/18, 0.45, 0.45, 0.45, 0.45, 57700
10/11/18, 0.45, 0.45, 0.45, 0.45, 95900
10/09/18, 0.45, 0.45, 0.45, 0.45, 70000
10/05/18, 0.45, 0.45, 0.45, 0.45, 131000
10/04/18, 0.45, 0.45, 0.45, 0.45, 119000
10/03/18, 0.45, 0.45, 0.45, 0.45, 71400
10/02/18, 0.45, 0.45, 0.45, 0.45, 400
10/01/18, 0.45, 0.45, 0.45, 0.45, 106800
09/28/18, 0.45, 0.45, 0.45, 0.45, 160700
09/27/18, 0.50, 0.55, 0.50, 0.50, 186400
09/26/18, 0.55, 0.60, 0.50, 0.55, 43200
09/25/18, 0.55, 0.65, 0.55, 0.55, 24500
09/24/18, 0.60, 0.60, 0.60, 0.60, 5900
09/21/18, 0.55, 0.60, 0.55, 0.55, 48300
09/20/18, 0.60, 0.65, 0.60, 0.60, 32500
09/19/18, 0.60, 0.65, 0.60, 0.60, 18500
09/18/18, 0.60, 0.70, 0.60, 0.60, 5500
09/17/18, 0.65, 0.70, 0.65, 0.65, 6600
