Date, Open, High, Low, Close, Volume
02/22/22, 96.00, 96.00, 96.00, 96.00, 100
02/18/22, 96.00, 96.00, 96.00, 96.00, 500
02/16/22, 95.00, 95.00, 95.00, 95.00, 300
02/09/22, 92.00, 92.00, 92.00, 92.00, 100
02/08/22, 92.25, 92.25, 92.25, 92.25, 100
02/02/22, 92.00, 92.00, 92.00, 92.00, 100
01/28/22, 101.00, 101.00, 101.00, 101.00, 100
01/27/22, 100.00, 100.00, 100.00, 100.00, 500
01/24/22, 95.00, 95.00, 95.00, 95.00, 100
01/21/22, 98.00, 98.00, 98.00, 98.00, 300
01/20/22, 100.00, 100.00, 100.00, 100.00, 100
01/14/22, 99.00, 99.00, 99.00, 99.00, 500
01/13/22, 98.00, 98.00, 98.00, 98.00, 300
01/12/22, 97.50, 97.50, 97.50, 97.50, 300
01/11/22, 96.00, 99.00, 96.00, 97.25, 1600
01/07/22, 92.00, 92.00, 92.00, 92.00, 200
01/06/22, 90.00, 90.00, 90.00, 90.00, 200
01/04/22, 90.00, 90.00, 90.00, 90.00, 100
01/03/22, 99.50, 99.50, 99.50, 99.50, 100
12/29/21, 95.00, 97.75, 95.00, 95.50, 600
12/23/21, 89.00, 89.00, 89.00, 89.00, 300
12/22/21, 90.00, 90.00, 90.00, 90.00, 500
12/07/21, 90.00, 90.00, 90.00, 90.00, 100
11/19/21, 82.00, 82.00, 82.00, 82.00, 500
11/08/21, 85.00, 85.00, 80.00, 81.00, 2500
11/05/21, 85.00, 85.00, 85.00, 85.00, 100
11/03/21, 85.00, 85.00, 85.00, 85.00, 500
11/02/21, 85.00, 85.00, 85.00, 85.00, 100
11/01/21, 90.00, 90.00, 90.00, 90.00, 500
10/27/21, 85.00, 85.00, 85.00, 85.00, 500
10/26/21, 85.00, 85.00, 85.00, 85.00, 100
10/18/21, 85.00, 95.00, 85.00, 87.50, 1600
10/15/21, 88.50, 88.50, 87.00, 88.00, 1600
10/13/21, 87.25, 87.25, 87.25, 87.25, 100
10/12/21, 89.00, 89.00, 89.00, 89.00, 100
10/05/21, 89.00, 89.75, 89.00, 89.75, 1300
10/04/21, 89.75, 89.75, 89.75, 89.75, 300
10/01/21, 89.75, 89.75, 89.75, 89.75, 200
09/28/21, 90.00, 90.00, 90.00, 90.00, 600
09/24/21, 92.00, 92.00, 90.00, 90.75, 3000
09/23/21, 90.00, 90.00, 90.00, 90.00, 100
09/17/21, 90.00, 90.00, 90.00, 90.00, 700
09/16/21, 90.00, 90.00, 90.00, 90.00, 400
09/15/21, 90.00, 90.00, 90.00, 90.00, 100
09/14/21, 88.50, 88.50, 88.50, 88.50, 3100
09/09/21, 88.50, 88.50, 88.50, 88.50, 6800
09/08/21, 88.50, 88.50, 88.50, 88.50, 100
09/06/21, 90.00, 90.00, 90.00, 90.00, 400
08/30/21, 83.00, 89.50, 83.00, 88.50, 600
08/24/21, 82.00, 82.00, 82.00, 82.00, 100
08/18/21, 82.00, 82.00, 82.00, 82.00, 200
08/17/21, 82.00, 82.00, 82.00, 82.00, 500
08/16/21, 85.00, 85.00, 82.00, 82.25, 1000
08/13/21, 85.00, 85.00, 85.00, 85.00, 200
08/10/21, 85.00, 85.00, 85.00, 85.00, 500
08/09/21, 87.00, 87.00, 87.00, 87.00, 200
08/06/21, 87.00, 87.00, 87.00, 87.00, 2200
08/03/21, 89.50, 89.50, 89.50, 89.50, 600
08/02/21, 89.00, 89.00, 89.00, 89.00, 100
07/30/21, 89.00, 89.00, 89.00, 89.00, 200
07/29/21, 89.00, 89.00, 85.00, 85.50, 800
07/28/21, 89.00, 89.00, 89.00, 89.00, 100
07/27/21, 89.00, 89.00, 89.00, 89.00, 300
07/26/21, 89.00, 89.00, 89.00, 89.00, 6500
07/23/21, 90.00, 90.00, 90.00, 90.00, 100
07/22/21, 90.00, 90.00, 90.00, 90.00, 100
07/21/21, 101.00, 101.00, 90.00, 92.00, 6500
07/19/21, 98.00, 98.00, 98.00, 98.00, 100
07/16/21, 98.00, 98.00, 98.00, 98.00, 100
07/15/21, 93.50, 99.00, 93.50, 98.25, 7400
07/14/21, 93.50, 93.50, 93.50, 93.50, 500
07/09/21, 85.00, 85.00, 85.00, 85.00, 100
07/08/21, 94.00, 94.00, 85.00, 85.50, 6800
07/07/21, 94.00, 94.00, 94.00, 94.00, 8500
07/06/21, 94.00, 94.00, 94.00, 94.00, 1400
07/05/21, 94.00, 94.00, 94.00, 94.00, 100
07/02/21, 94.00, 94.50, 94.00, 94.25, 1500
07/01/21, 89.00, 94.00, 89.00, 90.00, 900
06/30/21, 85.00, 89.00, 85.00, 86.75, 1800
06/28/21, 85.00, 85.00, 85.00, 85.00, 300
06/25/21, 80.50, 85.00, 80.50, 82.75, 200
06/21/21, 80.00, 80.00, 80.00, 80.00, 300
06/17/21, 82.25, 82.25, 82.25, 82.25, 300
06/16/21, 82.25, 82.25, 82.25, 82.25, 300
06/15/21, 80.00, 80.00, 80.00, 80.00, 800
06/14/21, 82.00, 82.00, 80.00, 80.75, 2700
06/11/21, 82.00, 82.00, 82.00, 82.00, 700
06/09/21, 81.00, 82.25, 81.00, 82.25, 1300
06/08/21, 82.25, 82.25, 82.25, 82.25, 500
06/07/21, 81.00, 81.00, 81.00, 81.00, 200
06/04/21, 81.00, 81.00, 81.00, 81.00, 100
06/03/21, 82.25, 82.25, 82.25, 82.25, 100
05/31/21, 82.25, 82.25, 80.00, 80.50, 1300
05/27/21, 80.00, 80.00, 80.00, 80.00, 100
05/24/21, 82.25, 82.25, 82.25, 82.25, 100
05/18/21, 80.00, 82.25, 80.00, 81.50, 4700
05/17/21, 80.00, 82.25, 80.00, 80.00, 5100
05/12/21, 82.50, 82.50, 82.00, 82.25, 1000
05/11/21, 82.50, 82.50, 82.50, 82.50, 300
04/30/21, 82.00, 86.00, 82.00, 82.50, 900
04/28/21, 82.00, 82.00, 82.00, 82.00, 5700
04/23/21, 81.50, 85.00, 81.25, 82.00, 4700
04/22/21, 85.00, 85.00, 81.00, 81.25, 5400
04/21/21, 85.00, 85.00, 85.00, 85.00, 100
04/15/21, 89.00, 89.00, 89.00, 89.00, 500
04/14/21, 82.50, 82.50, 82.50, 82.50, 4000
04/13/21, 89.00, 89.00, 89.00, 89.00, 400
04/07/21, 81.00, 81.00, 81.00, 81.00, 100
04/01/21, 90.00, 90.00, 84.00, 87.00, 200
03/30/21, 84.00, 84.00, 84.00, 84.00, 500
03/29/21, 84.00, 84.00, 84.00, 84.00, 300
03/25/21, 84.00, 84.00, 84.00, 84.00, 1000
03/24/21, 84.00, 84.00, 84.00, 84.00, 500
03/23/21, 84.00, 85.00, 84.00, 84.50, 2700
03/19/21, 84.00, 85.00, 84.00, 85.00, 5800
03/18/21, 84.00, 84.00, 84.00, 84.00, 100
03/15/21, 78.25, 78.25, 78.25, 78.25, 100
03/09/21, 80.00, 80.00, 78.00, 78.25, 700
02/26/21, 85.00, 85.00, 85.00, 85.00, 200
02/25/21, 84.00, 84.00, 84.00, 84.00, 300
02/24/21, 84.00, 84.00, 84.00, 84.00, 200
02/22/21, 81.00, 81.00, 81.00, 81.00, 100
02/19/21, 84.00, 84.00, 84.00, 84.00, 800
02/18/21, 80.00, 80.00, 80.00, 80.00, 100
02/17/21, 84.00, 84.00, 84.00, 84.00, 500
02/16/21, 85.00, 85.00, 85.00, 85.00, 100
02/09/21, 78.00, 78.00, 78.00, 78.00, 5200
02/04/21, 78.00, 78.00, 78.00, 78.00, 1000
02/02/21, 78.00, 78.00, 78.00, 78.00, 300
01/28/21, 78.00, 78.00, 78.00, 78.00, 10000
01/26/21, 79.00, 79.00, 79.00, 79.00, 300
01/25/21, 80.00, 80.00, 80.00, 80.00, 500
01/22/21, 79.25, 79.25, 79.00, 79.00, 600
01/21/21, 79.50, 79.50, 79.00, 79.25, 500
01/20/21, 79.50, 79.50, 79.50, 79.50, 300
01/19/21, 80.00, 80.00, 80.00, 80.00, 200
01/12/21, 80.00, 80.00, 80.00, 80.00, 600
01/11/21, 78.00, 78.00, 78.00, 78.00, 800
01/08/21, 78.00, 78.00, 78.00, 78.00, 100
01/07/21, 78.00, 78.00, 78.00, 78.00, 100
12/30/20, 78.00, 78.00, 78.00, 78.00, 200
12/23/20, 71.00, 71.00, 71.00, 71.00, 1100
12/22/20, 71.00, 71.00, 71.00, 71.00, 300
12/15/20, 71.00, 71.00, 71.00, 71.00, 100
12/14/20, 71.00, 71.00, 71.00, 71.00, 500
12/11/20, 71.00, 71.00, 71.00, 71.00, 200
12/08/20, 71.00, 71.00, 71.00, 71.00, 5200
12/07/20, 71.00, 71.00, 71.00, 71.00, 1300
12/04/20, 71.00, 71.00, 71.00, 71.00, 700
12/02/20, 71.00, 71.00, 71.00, 71.00, 100
12/01/20, 71.00, 71.00, 71.00, 71.00, 1300
11/27/20, 71.00, 71.00, 71.00, 71.00, 300
11/26/20, 72.00, 72.00, 71.00, 71.50, 600
11/19/20, 72.00, 72.00, 68.50, 71.50, 700
11/17/20, 72.00, 79.50, 72.00, 75.75, 200
11/12/20, 79.50, 79.50, 79.50, 79.50, 100
11/11/20, 80.00, 80.00, 80.00, 80.00, 200
11/10/20, 80.00, 80.00, 80.00, 80.00, 700
11/05/20, 80.00, 80.00, 80.00, 80.00, 200
11/04/20, 80.00, 80.00, 80.00, 80.00, 500
11/03/20, 80.00, 80.00, 80.00, 80.00, 100
11/02/20, 80.00, 80.00, 80.00, 80.00, 100
10/30/20, 80.00, 80.00, 80.00, 80.00, 200
10/29/20, 80.00, 80.00, 80.00, 80.00, 900
10/27/20, 80.00, 80.00, 80.00, 80.00, 200
10/26/20, 75.00, 75.00, 75.00, 75.00, 100
10/16/20, 75.00, 75.00, 75.00, 75.00, 500
10/06/20, 80.00, 81.50, 80.00, 80.50, 300
10/05/20, 80.00, 80.00, 80.00, 80.00, 100
09/21/20, 81.50, 81.50, 81.50, 81.50, 100
09/15/20, 80.00, 80.00, 80.00, 80.00, 300
09/11/20, 75.00, 75.00, 75.00, 75.00, 100
09/10/20, 82.00, 82.00, 82.00, 82.00, 100
09/02/20, 78.50, 78.50, 77.00, 78.00, 300
08/20/20, 85.00, 85.00, 85.00, 85.00, 100
08/19/20, 85.25, 85.25, 85.25, 85.25, 100
08/18/20, 80.00, 86.00, 80.00, 81.50, 400
08/13/20, 80.00, 80.00, 80.00, 80.00, 100
08/12/20, 82.00, 82.00, 80.00, 80.25, 1100
08/07/20, 79.50, 79.50, 79.50, 79.50, 2600
08/05/20, 81.00, 81.00, 78.75, 79.50, 2200
08/04/20, 81.00, 84.00, 81.00, 82.50, 200
07/29/20, 90.00, 90.00, 89.00, 89.75, 1000
07/27/20, 89.00, 89.00, 89.00, 89.00, 100
