Date, Open, High, Low, Close, Volume
02/24/22, 0.22, 0.22, 0.20, 0.20, 83200
02/23/22, 0.21, 0.22, 0.20, 0.21, 9200
02/22/22, 0.22, 0.22, 0.21, 0.22, 11800
02/21/22, 0.22, 0.22, 0.20, 0.20, 94700
02/18/22, 0.22, 0.22, 0.21, 0.22, 4000
02/17/22, 0.21, 0.23, 0.21, 0.22, 125100
02/16/22, 0.22, 0.22, 0.21, 0.22, 59800
02/15/22, 0.22, 0.22, 0.22, 0.22, 1900
02/14/22, 0.23, 0.23, 0.20, 0.22, 47700
02/11/22, 0.22, 0.23, 0.22, 0.22, 46100
02/10/22, 0.22, 0.23, 0.22, 0.22, 22700
02/09/22, 0.22, 0.22, 0.22, 0.22, 6700
02/08/22, 0.23, 0.23, 0.22, 0.23, 2200
02/07/22, 0.21, 0.22, 0.21, 0.21, 57900
02/04/22, 0.22, 0.22, 0.22, 0.22, 800
02/03/22, 0.23, 0.23, 0.23, 0.23, 102300
02/02/22, 0.21, 0.23, 0.21, 0.23, 8500
02/01/22, 0.23, 0.23, 0.23, 0.23, 3500
01/31/22, 0.23, 0.23, 0.21, 0.23, 16500
01/28/22, 0.23, 0.23, 0.22, 0.23, 34200
01/27/22, 0.21, 0.23, 0.21, 0.23, 11900
01/26/22, 0.21, 0.23, 0.21, 0.22, 19200
01/25/22, 0.23, 0.23, 0.21, 0.22, 26400
01/24/22, 0.22, 0.23, 0.21, 0.22, 15600
01/21/22, 0.23, 0.23, 0.21, 0.22, 39100
01/20/22, 0.23, 0.23, 0.22, 0.23, 64500
01/19/22, 0.23, 0.23, 0.21, 0.23, 6300
01/18/22, 0.22, 0.23, 0.20, 0.22, 161200
01/17/22, 0.20, 0.23, 0.20, 0.22, 27100
01/14/22, 0.23, 0.23, 0.21, 0.22, 4000
01/13/22, 0.21, 0.23, 0.20, 0.23, 1800
01/12/22, 0.23, 0.23, 0.21, 0.22, 14900
01/11/22, 0.23, 0.23, 0.21, 0.21, 122900
01/10/22, 0.23, 0.23, 0.21, 0.21, 86700
01/07/22, 0.23, 0.23, 0.22, 0.23, 7400
01/06/22, 0.23, 0.23, 0.22, 0.23, 41200
01/05/22, 0.21, 0.24, 0.21, 0.23, 24300
01/04/22, 0.22, 0.24, 0.22, 0.22, 32300
01/03/22, 0.25, 0.26, 0.22, 0.23, 391100
12/31/21, 0.23, 0.24, 0.23, 0.24, 1000
