Date, Open, High, Low, Close, Volume
01/06/22, 11.00, 11.00, 10.80, 10.90, 7000
01/05/22, 10.80, 11.00, 10.80, 10.90, 700
01/04/22, 10.80, 10.80, 10.80, 10.80, 9400
01/03/22, 11.00, 11.00, 10.80, 10.90, 2400
12/31/21, 11.00, 11.00, 10.80, 11.00, 1700
12/30/21, 11.00, 11.00, 11.00, 11.00, 1000
12/29/21, 11.00, 11.00, 10.80, 10.90, 2400
12/28/21, 11.00, 11.00, 11.00, 11.00, 10700
12/24/21, 11.00, 11.00, 11.00, 11.00, 12700
12/23/21, 11.00, 11.00, 10.85, 11.00, 4000
12/22/21, 10.90, 10.90, 10.50, 10.65, 18700
12/21/21, 10.80, 10.90, 10.30, 10.80, 13500
12/20/21, 10.85, 10.90, 10.80, 10.80, 14800
12/17/21, 10.85, 10.85, 10.80, 10.80, 5400
12/16/21, 10.80, 10.80, 10.80, 10.80, 5500
12/15/21, 10.80, 10.80, 10.60, 10.70, 8000
12/14/21, 10.80, 10.80, 10.70, 10.80, 1400
12/10/21, 10.80, 10.80, 10.80, 10.80, 7400
12/09/21, 10.80, 10.80, 10.80, 10.80, 3100
12/08/21, 10.80, 10.80, 10.80, 10.80, 3800
12/07/21, 10.80, 10.80, 10.80, 10.80, 700
12/06/21, 11.00, 11.00, 10.80, 10.90, 13000
12/03/21, 11.00, 11.25, 11.00, 11.05, 3700
12/02/21, 11.50, 11.50, 11.00, 11.15, 5300
12/01/21, 11.65, 11.65, 11.00, 11.00, 42300
11/30/21, 11.65, 11.65, 10.50, 11.20, 11900
11/29/21, 11.65, 11.65, 10.10, 11.65, 13900
11/26/21, 12.90, 12.95, 12.80, 12.90, 39200
11/25/21, 13.00, 13.00, 12.80, 12.90, 15200
11/24/21, 13.10, 13.20, 13.00, 13.10, 47900
11/23/21, 13.00, 13.15, 12.85, 13.00, 42800
11/22/21, 13.00, 13.05, 13.00, 13.00, 45100
11/19/21, 13.00, 13.10, 12.95, 13.00, 70000
11/18/21, 13.10, 13.15, 12.90, 12.95, 66700
11/17/21, 13.30, 13.30, 13.00, 13.15, 56700
11/16/21, 13.15, 13.15, 12.95, 13.05, 14100
11/15/21, 13.00, 13.15, 12.80, 12.95, 24500
11/12/21, 13.00, 13.20, 13.00, 13.00, 23600
11/11/21, 13.00, 13.20, 13.00, 13.00, 46200
11/10/21, 13.25, 13.25, 13.00, 13.00, 45900
11/09/21, 13.20, 13.20, 13.00, 13.05, 24400
11/08/21, 13.00, 13.20, 13.00, 13.05, 41100
11/05/21, 13.10, 13.20, 13.00, 13.05, 57100
11/04/21, 13.25, 13.30, 13.00, 13.10, 81000
11/03/21, 13.45, 13.50, 13.00, 13.25, 171100
11/02/21, 12.30, 13.25, 11.80, 12.30, 193400
11/01/21, 11.50, 12.00, 11.50, 11.80, 1000
10/29/21, 11.50, 11.50, 11.50, 11.50, 4000
10/28/21, 11.40, 11.55, 11.40, 11.50, 14900
10/27/21, 11.50, 11.80, 11.50, 11.55, 1100
10/26/21, 11.60, 11.65, 11.25, 11.50, 7400
10/25/21, 11.25, 11.80, 11.00, 11.40, 60100
10/22/21, 11.20, 11.20, 11.20, 11.20, 13000
10/21/21, 11.90, 11.90, 11.20, 11.25, 45400
10/19/21, 11.70, 11.70, 11.20, 11.30, 1700
10/18/21, 11.40, 11.40, 11.20, 11.20, 10000
10/15/21, 11.80, 11.80, 11.40, 11.70, 6600
10/14/21, 11.80, 12.00, 11.30, 11.75, 13500
10/13/21, 11.70, 11.80, 11.40, 11.55, 6400
10/12/21, 11.80, 11.80, 11.80, 11.80, 200
10/08/21, 11.50, 11.95, 11.50, 11.65, 14500
10/07/21, 11.50, 11.50, 11.50, 11.50, 3800
10/06/21, 12.00, 12.00, 11.45, 11.45, 77800
10/05/21, 11.55, 11.75, 11.50, 11.55, 50600
10/04/21, 11.70, 11.75, 11.50, 11.50, 14500
10/01/21, 12.00, 12.00, 11.75, 11.85, 1100
09/29/21, 12.00, 12.00, 11.80, 11.95, 15700
09/28/21, 11.65, 12.00, 11.40, 11.45, 152600
09/27/21, 12.30, 12.30, 11.75, 12.00, 14400
09/24/21, 12.00, 12.00, 11.90, 12.00, 9600
09/23/21, 11.50, 12.00, 11.45, 11.50, 2400
09/22/21, 11.90, 12.00, 11.90, 11.90, 1500
09/21/21, 11.40, 11.90, 11.40, 11.45, 4500
09/20/21, 11.90, 11.90, 11.40, 11.85, 15200
09/17/21, 11.50, 12.00, 11.40, 11.55, 10300
09/16/21, 11.30, 11.50, 11.30, 11.35, 2900
09/15/21, 11.10, 12.00, 11.05, 11.15, 6100
09/14/21, 10.90, 11.00, 10.90, 11.00, 52500
09/13/21, 11.00, 11.00, 10.90, 11.00, 26700
09/10/21, 11.00, 11.00, 11.00, 11.00, 18700
09/09/21, 11.25, 12.00, 11.00, 11.10, 59300
09/08/21, 11.45, 12.10, 11.00, 11.10, 23200
09/07/21, 11.00, 11.40, 10.90, 11.05, 62600
09/06/21, 11.50, 11.50, 11.00, 11.10, 104800
09/03/21, 11.35, 11.50, 11.35, 11.50, 2400
09/02/21, 11.40, 11.50, 11.40, 11.45, 1600
09/01/21, 11.45, 11.45, 11.40, 11.45, 10200
08/31/21, 11.55, 11.55, 11.45, 11.50, 15400
08/30/21, 12.50, 12.50, 11.50, 11.60, 8200
08/27/21, 11.85, 11.85, 11.40, 11.50, 47400
08/26/21, 11.60, 11.70, 11.50, 11.55, 10000
08/25/21, 12.00, 12.00, 11.60, 11.85, 7400
08/24/21, 11.70, 11.70, 11.60, 11.60, 11900
08/23/21, 11.75, 11.75, 11.70, 11.75, 7500
08/20/21, 11.50, 12.00, 11.50, 11.70, 115200
08/19/21, 11.70, 12.40, 11.30, 11.70, 6000
08/18/21, 12.00, 12.40, 11.50, 11.75, 11200
08/17/21, 12.45, 12.45, 12.40, 12.45, 800
08/16/21, 12.45, 12.45, 12.40, 12.45, 1400
08/13/21, 12.45, 12.45, 12.45, 12.45, 100
08/12/21, 12.20, 12.20, 12.00, 12.00, 9600
08/11/21, 12.50, 12.50, 12.50, 12.50, 100
08/10/21, 12.25, 12.50, 12.25, 12.45, 9800
08/09/21, 12.25, 12.25, 12.25, 12.25, 200
08/06/21, 12.40, 12.40, 12.20, 12.25, 6500
08/05/21, 12.35, 12.35, 12.00, 12.20, 2000
08/04/21, 12.00, 12.00, 12.00, 12.00, 29700
08/03/21, 11.70, 12.00, 11.70, 12.00, 18600
08/02/21, 12.05, 12.40, 11.80, 12.05, 9400
07/30/21, 12.20, 12.30, 11.70, 12.00, 12300
07/29/21, 12.40, 12.40, 12.40, 12.40, 6800
07/28/21, 12.50, 12.50, 12.50, 12.50, 400
07/27/21, 12.40, 12.40, 12.00, 12.05, 4000
07/26/21, 12.40, 12.40, 12.20, 12.20, 9700
07/23/21, 12.75, 12.75, 12.30, 12.50, 30400
07/22/21, 12.30, 12.75, 12.30, 12.40, 18500
07/21/21, 12.25, 12.25, 12.00, 12.25, 13100
07/19/21, 12.00, 12.00, 12.00, 12.00, 100
07/16/21, 12.00, 12.40, 12.00, 12.00, 17200
07/15/21, 12.00, 12.00, 12.00, 12.00, 2400
07/14/21, 12.00, 12.00, 12.00, 12.00, 12900
07/13/21, 12.00, 12.50, 11.65, 12.00, 10800
07/12/21, 12.00, 12.00, 12.00, 12.00, 13200
07/09/21, 12.05, 12.05, 12.00, 12.00, 2400
07/08/21, 12.05, 12.05, 12.00, 12.00, 6900
07/07/21, 12.85, 12.85, 12.85, 12.85, 2100
07/06/21, 12.00, 12.50, 12.00, 12.00, 4600
07/05/21, 12.60, 12.60, 12.50, 12.60, 500
07/02/21, 11.70, 12.90, 11.70, 12.50, 5000
07/01/21, 11.75, 12.10, 11.75, 11.90, 7100
06/30/21, 11.75, 12.00, 11.75, 12.00, 317500
06/29/21, 12.00, 12.00, 12.00, 12.00, 4700
06/28/21, 11.70, 11.75, 11.70, 11.75, 65100
06/25/21, 11.75, 11.75, 11.50, 11.75, 569300
06/24/21, 11.15, 11.80, 11.15, 11.70, 3397200
06/23/21, 11.25, 11.35, 10.85, 11.05, 3500
06/22/21, 11.35, 11.35, 11.25, 11.35, 54600
06/21/21, 11.65, 11.65, 10.95, 11.40, 4300
06/18/21, 11.50, 11.50, 11.50, 11.50, 500
06/17/21, 11.50, 11.70, 11.15, 11.20, 21700
