Date, Open, High, Low, Close, Volume
04/04/22, 62.00, 62.00, 62.00, 62.00, 100
04/01/22, 67.00, 67.00, 67.00, 67.00, 100
03/28/22, 69.00, 69.00, 69.00, 69.00, 100
03/25/22, 70.00, 70.00, 70.00, 70.00, 100
03/24/22, 37.50, 37.50, 37.50, 37.50, 200
03/22/22, 38.00, 38.00, 38.00, 38.00, 200
03/21/22, 38.00, 38.00, 33.38, 35.00, 2600
03/18/22, 36.50, 36.50, 36.50, 36.50, 600
03/17/22, 33.25, 33.25, 33.25, 33.25, 200
03/16/22, 34.25, 34.25, 34.25, 34.25, 400
03/15/22, 31.25, 34.25, 31.25, 33.25, 3000
03/14/22, 31.25, 31.25, 31.25, 31.25, 4000
03/11/22, 30.50, 31.00, 30.50, 30.63, 1000
03/10/22, 27.50, 30.50, 27.50, 28.25, 2200
03/09/22, 30.00, 30.50, 30.00, 30.13, 2600
03/08/22, 30.50, 30.50, 27.00, 28.75, 400
03/07/22, 28.50, 28.50, 28.50, 28.50, 800
03/04/22, 26.50, 26.50, 26.00, 26.13, 1600
03/03/22, 26.00, 26.00, 26.00, 26.00, 1800
03/02/22, 29.50, 29.50, 26.63, 28.63, 2000
03/01/22, 29.50, 29.50, 29.50, 29.50, 2000
02/25/22, 32.13, 32.13, 32.00, 32.00, 2600
02/24/22, 32.25, 32.25, 32.25, 32.25, 200
02/23/22, 36.00, 36.00, 32.00, 32.13, 21600
02/22/22, 33.00, 34.50, 33.00, 33.13, 4200
02/21/22, 33.00, 33.00, 32.50, 32.88, 6000
02/18/22, 33.00, 33.00, 33.00, 33.00, 200
02/17/22, 31.00, 33.00, 31.00, 31.63, 2600
02/16/22, 31.00, 32.00, 31.00, 31.50, 5600
02/15/22, 31.00, 31.00, 30.75, 31.00, 3200
02/14/22, 31.00, 31.00, 31.00, 31.00, 400
02/11/22, 31.00, 31.00, 30.00, 30.50, 12400
02/10/22, 31.00, 31.00, 31.00, 31.00, 2000
02/09/22, 30.50, 30.50, 30.50, 30.50, 3400
02/08/22, 31.00, 31.00, 31.00, 31.00, 2600
02/07/22, 31.00, 31.00, 30.50, 30.75, 3000
02/04/22, 28.50, 28.63, 28.50, 28.50, 1000
02/03/22, 30.00, 32.50, 29.63, 31.13, 1600
02/02/22, 29.63, 29.63, 29.63, 29.63, 400
02/01/22, 27.00, 27.00, 27.00, 27.00, 1200
01/31/22, 29.50, 29.63, 29.50, 29.63, 800
01/28/22, 27.00, 27.00, 27.00, 27.00, 400
01/27/22, 26.00, 29.75, 25.00, 25.25, 6600
01/26/22, 27.13, 27.25, 27.13, 27.13, 3400
01/25/22, 30.13, 30.13, 30.13, 30.13, 3800
01/24/22, 32.75, 34.13, 32.50, 33.38, 4600
01/21/22, 34.50, 34.75, 32.75, 34.25, 2600
01/20/22, 34.75, 36.00, 34.50, 35.13, 17200
01/19/22, 34.75, 38.00, 32.00, 36.38, 16000
01/18/22, 34.75, 34.75, 34.50, 34.75, 24600
01/17/22, 31.00, 31.88, 31.00, 31.63, 19200
01/14/22, 29.50, 29.63, 24.60, 29.00, 8400
01/13/22, 27.00, 27.00, 27.00, 27.00, 12800
01/12/22, 24.60, 24.60, 24.60, 24.60, 200
01/11/22, 22.38, 22.38, 22.38, 22.38, 1400
01/10/22, 20.35, 20.35, 20.35, 20.35, 400
01/07/22, 18.52, 18.52, 18.52, 18.52, 600
01/06/22, 16.83, 17.00, 16.83, 16.85, 1600
01/05/22, 15.30, 15.30, 15.30, 15.30, 400
12/30/21, 16.98, 16.98, 16.98, 16.98, 200
12/29/21, 15.50, 15.50, 15.50, 15.50, 200
12/28/21, 16.98, 16.98, 16.98, 16.98, 1000
12/21/21, 16.95, 16.95, 16.95, 16.95, 800
12/10/21, 17.00, 17.00, 17.00, 17.00, 800
12/09/21, 15.75, 15.75, 15.75, 15.75, 3000
12/03/21, 17.50, 17.50, 17.50, 17.50, 200
12/02/21, 15.98, 15.98, 15.98, 15.98, 600
