Date, Open, High, Low, Close, Volume
02/24/22, 0.99, 0.99, 0.97, 0.97, 1300
02/23/22, 0.97, 0.97, 0.97, 0.97, 5500
02/22/22, 0.98, 1.00, 0.87, 0.89, 25300
02/21/22, 0.97, 1.00, 0.87, 0.96, 2200
02/18/22, 0.96, 0.96, 0.95, 0.96, 2800
02/17/22, 0.96, 0.96, 0.95, 0.96, 4900
02/16/22, 0.96, 0.96, 0.96, 0.96, 100
02/15/22, 0.96, 0.97, 0.96, 0.97, 3300
02/14/22, 0.97, 0.97, 0.96, 0.97, 1300
02/11/22, 0.97, 0.97, 0.96, 0.96, 500
02/10/22, 0.97, 0.97, 0.91, 0.97, 2300
02/09/22, 0.97, 0.97, 0.89, 0.94, 7500
02/08/22, 0.98, 0.99, 0.90, 0.98, 6100
02/07/22, 1.00, 1.00, 0.90, 0.96, 15000
02/04/22, 0.98, 1.00, 0.98, 1.00, 3200
02/03/22, 0.98, 0.98, 0.98, 0.98, 3200
02/02/22, 0.90, 1.00, 0.90, 0.90, 17000
02/01/22, 1.00, 1.00, 0.99, 1.00, 1800
01/31/22, 1.00, 1.00, 0.95, 1.00, 2600
01/28/22, 1.00, 1.03, 0.95, 1.00, 2700
01/27/22, 1.04, 1.06, 0.99, 1.03, 2400
01/26/22, 0.99, 1.00, 0.90, 0.97, 4700
01/25/22, 0.99, 0.99, 0.91, 0.96, 6400
01/24/22, 0.99, 0.99, 0.90, 0.97, 700
01/21/22, 0.99, 1.00, 0.98, 0.99, 1800
01/20/22, 0.90, 1.00, 0.90, 0.97, 1300
01/19/22, 1.00, 1.00, 0.90, 1.00, 15800
01/18/22, 0.96, 1.00, 0.92, 0.98, 4400
01/17/22, 1.00, 1.00, 0.94, 0.98, 3300
01/14/22, 0.96, 1.00, 0.96, 0.99, 500
01/13/22, 0.96, 0.96, 0.95, 0.96, 2600
01/12/22, 0.88, 0.96, 0.87, 0.88, 56900
01/11/22, 0.87, 0.95, 0.86, 0.88, 1700
01/10/22, 0.99, 1.00, 0.85, 0.87, 178400
01/07/22, 0.99, 1.00, 0.90, 0.94, 3900
01/06/22, 0.90, 1.00, 0.90, 0.99, 4500
01/05/22, 0.99, 1.05, 0.95, 0.99, 2200
01/04/22, 1.05, 1.05, 0.97, 1.00, 1400
01/03/22, 1.07, 1.07, 1.04, 1.05, 21200
12/31/21, 0.97, 0.99, 0.97, 0.98, 700
12/30/21, 0.98, 0.98, 0.98, 0.98, 4300
12/29/21, 0.98, 0.98, 0.98, 0.98, 1500
12/28/21, 0.99, 0.99, 0.93, 0.95, 1700
12/24/21, 1.00, 1.00, 0.99, 0.99, 20700
12/23/21, 1.00, 1.00, 0.95, 0.96, 4300
12/22/21, 1.00, 1.05, 0.95, 1.01, 2200
12/21/21, 1.10, 1.10, 1.00, 1.04, 5500
12/20/21, 0.95, 1.05, 0.95, 1.01, 1400
12/17/21, 1.05, 1.05, 0.95, 1.02, 1400
12/16/21, 1.02, 1.05, 1.01, 1.04, 2200
12/15/21, 1.02, 1.05, 1.02, 1.03, 3100
12/14/21, 1.02, 1.05, 1.00, 1.04, 4500
12/10/21, 0.93, 1.05, 0.93, 1.02, 18600
12/09/21, 0.95, 1.05, 0.95, 1.02, 3000
12/08/21, 1.00, 1.05, 0.99, 1.02, 2800
12/07/21, 1.01, 1.04, 0.91, 1.02, 7400
12/06/21, 0.94, 1.03, 0.93, 1.01, 6800
12/03/21, 0.94, 1.03, 0.92, 0.96, 2800
12/02/21, 0.93, 1.00, 0.92, 0.94, 16400
12/01/21, 0.86, 0.94, 0.86, 0.92, 12400
11/30/21, 0.92, 0.99, 0.85, 0.86, 12200
11/29/21, 0.92, 0.96, 0.85, 0.92, 9800
11/26/21, 0.92, 0.92, 0.85, 0.88, 500
11/25/21, 0.88, 0.92, 0.82, 0.85, 19700
11/24/21, 0.88, 0.90, 0.81, 0.85, 9900
11/23/21, 0.88, 0.92, 0.86, 0.88, 400
11/22/21, 0.88, 0.97, 0.85, 0.88, 3600
11/19/21, 0.89, 0.89, 0.89, 0.89, 2000
11/18/21, 1.00, 1.00, 0.84, 0.98, 9000
11/17/21, 0.89, 0.96, 0.82, 0.93, 11400
11/16/21, 0.87, 0.89, 0.86, 0.89, 23900
11/15/21, 0.89, 0.89, 0.82, 0.89, 41600
11/12/21, 0.80, 0.93, 0.80, 0.85, 3400
11/11/21, 0.89, 0.89, 0.81, 0.85, 43800
11/10/21, 0.95, 0.95, 0.89, 0.89, 86200
11/09/21, 0.95, 0.95, 0.95, 0.95, 3600
11/08/21, 0.96, 0.96, 0.95, 0.96, 10700
11/05/21, 0.96, 0.96, 0.95, 0.96, 6300
11/04/21, 1.01, 1.07, 0.95, 0.97, 2400
11/03/21, 1.07, 1.07, 1.01, 1.04, 2600
11/02/21, 1.00, 1.07, 1.00, 1.00, 31500
11/01/21, 1.10, 1.10, 0.92, 1.01, 2800
10/29/21, 0.98, 1.00, 0.98, 1.00, 800
10/28/21, 1.10, 1.10, 0.90, 0.96, 1900
10/27/21, 1.00, 1.04, 0.97, 1.00, 3100
10/26/21, 0.99, 1.07, 0.99, 1.04, 1700
10/25/21, 0.98, 0.98, 0.98, 0.98, 1500
10/22/21, 1.07, 1.07, 0.90, 0.90, 49500
10/21/21, 1.05, 1.09, 0.95, 1.00, 2800
10/19/21, 1.00, 1.10, 0.95, 1.05, 5800
10/18/21, 1.08, 1.08, 1.00, 1.04, 900
10/15/21, 1.10, 1.10, 1.05, 1.09, 11300
10/14/21, 1.05, 1.10, 1.05, 1.09, 2300
10/13/21, 1.10, 1.10, 1.05, 1.06, 4600
10/12/21, 1.11, 1.11, 1.05, 1.05, 5800
10/08/21, 1.14, 1.15, 1.14, 1.14, 400
10/07/21, 1.15, 1.15, 1.15, 1.15, 1000
10/06/21, 1.15, 1.20, 1.15, 1.18, 1200
10/05/21, 1.15, 1.15, 1.10, 1.14, 1600
10/04/21, 1.13, 1.20, 1.13, 1.18, 17500
10/01/21, 1.27, 1.27, 1.10, 1.22, 5200
09/30/21, 1.13, 1.19, 1.01, 1.16, 7100
09/29/21, 1.03, 1.13, 1.01, 1.09, 28900
09/28/21, 1.03, 1.05, 1.03, 1.04, 12700
09/27/21, 0.98, 1.11, 0.98, 1.09, 5700
09/24/21, 1.06, 1.06, 1.03, 1.05, 1700
09/23/21, 1.05, 1.07, 0.96, 0.97, 27800
09/22/21, 0.97, 1.00, 0.97, 0.98, 900
09/21/21, 1.00, 1.05, 0.96, 1.02, 10400
