Date, Open, High, Low, Close, Volume
07/02/20, 3.96, 3.96, 3.28, 3.83, 1835400
07/01/20, 3.60, 3.60, 3.60, 3.60, 159400
06/30/20, 3.28, 3.28, 3.28, 3.28, 1326200
06/29/20, 2.99, 2.99, 2.99, 2.99, 171300
06/26/20, 2.72, 2.72, 2.72, 2.72, 2900
06/25/20, 2.55, 2.62, 2.40, 2.48, 136400
06/24/20, 2.57, 2.60, 2.42, 2.49, 292300
06/23/20, 2.65, 2.65, 2.60, 2.60, 173200
06/22/20, 2.80, 2.80, 2.65, 2.74, 122000
06/19/20, 2.80, 2.80, 2.71, 2.76, 160300
06/18/20, 2.90, 2.98, 2.71, 2.84, 117400
06/17/20, 2.80, 3.00, 2.70, 2.85, 245100
06/16/20, 2.64, 2.90, 2.60, 2.79, 74500
06/15/20, 2.70, 2.70, 2.60, 2.64, 228300
06/12/20, 2.95, 2.95, 2.70, 2.86, 217800
06/11/20, 2.95, 2.95, 2.80, 2.86, 417200
06/10/20, 2.80, 3.05, 2.79, 2.85, 985800
06/09/20, 2.80, 2.80, 2.80, 2.80, 382800
06/08/20, 2.43, 2.56, 2.43, 2.55, 49400
06/05/20, 2.20, 2.33, 2.20, 2.33, 51200
06/04/20, 2.18, 2.18, 2.00, 2.12, 282500
06/03/20, 2.18, 2.18, 1.80, 1.99, 664000
06/02/20, 2.00, 2.00, 1.99, 1.99, 375600
05/29/20, 2.38, 2.38, 2.20, 2.21, 335500
05/28/20, 2.50, 2.50, 2.43, 2.44, 284500
05/27/20, 3.46, 3.46, 2.00, 2.70, 1792100
05/26/20, 3.46, 3.46, 3.46, 3.46, 428300
05/22/20, 3.15, 3.15, 3.15, 3.15, 831500
05/21/20, 2.87, 2.87, 2.87, 2.87, 116000
05/20/20, 2.61, 2.61, 2.61, 2.61, 408300
05/19/20, 2.25, 2.39, 2.25, 2.38, 171600
05/18/20, 2.20, 2.21, 2.01, 2.18, 638800
05/15/20, 2.01, 2.01, 2.01, 2.01, 63200
05/14/20, 1.83, 1.83, 1.83, 1.83, 473000
05/13/20, 1.66, 1.67, 1.66, 1.67, 141100
05/12/20, 1.40, 1.52, 1.40, 1.52, 195200
