Date, Open, High, Low, Close, Volume
03/31/22, 424.50, 424.50, 424.50, 424.50, 200
03/29/22, 425.00, 425.00, 425.00, 425.00, 400
03/23/22, 415.00, 415.00, 415.00, 415.00, 300
02/28/22, 415.00, 415.00, 415.00, 415.00, 300
02/22/22, 415.00, 415.00, 415.00, 415.00, 100
02/18/22, 415.00, 415.00, 390.00, 392.50, 1000
02/16/22, 415.00, 415.00, 415.00, 415.00, 100
02/11/22, 410.00, 410.00, 410.00, 410.00, 100
02/09/22, 418.00, 418.00, 418.00, 418.00, 100
02/07/22, 418.00, 418.00, 418.00, 418.00, 200
02/01/22, 418.00, 418.00, 418.00, 418.00, 200
01/25/22, 418.00, 418.00, 418.00, 418.00, 100
01/20/22, 419.00, 419.00, 419.00, 419.00, 100
01/18/22, 385.00, 385.00, 385.00, 385.00, 400
01/11/22, 385.00, 385.00, 385.00, 385.00, 300
01/05/22, 420.00, 420.00, 420.00, 420.00, 100
12/15/21, 385.50, 385.50, 385.00, 385.00, 61600
11/24/21, 423.50, 423.50, 423.50, 423.50, 200
11/16/21, 385.00, 385.00, 385.00, 385.00, 100
11/11/21, 415.00, 415.00, 415.00, 415.00, 200
11/10/21, 385.00, 385.00, 385.00, 385.00, 100
11/02/21, 385.00, 385.00, 385.00, 385.00, 100
11/01/21, 415.00, 415.00, 415.00, 415.00, 100
10/27/21, 385.00, 385.00, 385.00, 385.00, 100
09/30/21, 385.25, 385.25, 383.00, 384.50, 300
09/27/21, 390.00, 390.00, 390.00, 390.00, 100
09/24/21, 390.00, 390.00, 390.00, 390.00, 100
09/08/21, 385.25, 385.25, 385.25, 385.25, 100
09/06/21, 383.00, 383.00, 383.00, 383.00, 100
09/01/21, 383.25, 383.25, 383.25, 383.25, 100
08/31/21, 410.00, 410.00, 410.00, 410.00, 100
08/23/21, 415.00, 415.00, 415.00, 415.00, 100
08/19/21, 382.00, 382.00, 382.00, 382.00, 100
08/17/21, 415.00, 415.00, 415.00, 415.00, 100
08/16/21, 415.00, 415.00, 415.00, 415.00, 100
08/10/21, 415.00, 415.00, 415.00, 415.00, 100
07/30/21, 415.00, 415.00, 415.00, 415.00, 100
07/29/21, 410.00, 410.00, 410.00, 410.00, 100
07/28/21, 410.00, 410.00, 371.00, 397.00, 300
07/27/21, 410.00, 410.00, 410.00, 410.00, 100
07/15/21, 372.75, 372.75, 372.75, 372.75, 100
07/09/21, 375.50, 375.50, 370.00, 372.75, 600
07/01/21, 405.00, 405.00, 405.00, 405.00, 200
06/30/21, 405.00, 405.00, 405.00, 405.00, 200
06/28/21, 405.00, 405.00, 405.00, 405.00, 100
06/25/21, 405.00, 405.00, 405.00, 405.00, 100
06/22/21, 405.00, 405.00, 405.00, 405.00, 200
06/17/21, 380.00, 380.00, 380.00, 380.00, 6100
06/16/21, 385.00, 385.00, 385.00, 385.00, 1000
06/14/21, 405.00, 405.00, 405.00, 405.00, 100
06/02/21, 380.00, 380.00, 380.00, 380.00, 100
05/06/21, 360.00, 360.00, 360.00, 360.00, 1100
05/05/21, 360.00, 360.00, 360.00, 360.00, 100
04/30/21, 355.00, 360.00, 355.00, 358.25, 300
04/14/21, 355.00, 355.00, 355.00, 355.00, 100
04/06/21, 351.00, 351.00, 351.00, 351.00, 300
03/29/21, 355.00, 355.00, 355.00, 355.00, 100
03/24/21, 355.00, 355.00, 355.00, 355.00, 1000
03/23/21, 362.00, 362.00, 362.00, 362.00, 500
03/18/21, 360.00, 360.00, 360.00, 360.00, 100
03/17/21, 365.00, 365.00, 365.00, 365.00, 100
03/12/21, 365.00, 365.00, 365.00, 365.00, 100
03/02/21, 365.00, 365.00, 365.00, 365.00, 200
03/01/21, 371.00, 371.00, 371.00, 371.00, 100
02/24/21, 370.00, 370.00, 370.00, 370.00, 1100
02/09/21, 370.00, 370.00, 370.00, 370.00, 100
02/08/21, 365.00, 365.00, 365.00, 365.00, 200
02/03/21, 370.00, 370.00, 370.00, 370.00, 100
01/25/21, 365.00, 365.00, 365.00, 365.00, 100
01/14/21, 370.00, 370.00, 370.00, 370.00, 100
12/28/20, 365.00, 365.00, 365.00, 365.00, 100
12/22/20, 370.00, 370.00, 370.00, 370.00, 100
12/03/20, 365.00, 365.00, 365.00, 365.00, 100
11/23/20, 365.00, 365.00, 365.00, 365.00, 100
11/12/20, 365.00, 365.00, 365.00, 365.00, 100
11/11/20, 373.00, 380.00, 365.00, 368.50, 2300
11/09/20, 365.00, 365.00, 365.00, 365.00, 100
11/06/20, 370.00, 375.00, 370.00, 372.50, 200
11/05/20, 375.00, 375.00, 370.00, 370.75, 1000
11/02/20, 370.00, 370.00, 370.00, 370.00, 100
10/29/20, 370.00, 370.00, 370.00, 370.00, 100
10/28/20, 370.00, 370.00, 370.00, 370.00, 100
10/27/20, 375.00, 375.00, 375.00, 375.00, 100
10/23/20, 375.00, 375.00, 375.00, 375.00, 100
10/22/20, 380.00, 380.00, 380.00, 380.00, 100
10/16/20, 380.00, 380.00, 380.00, 380.00, 100
10/13/20, 380.00, 380.00, 380.00, 380.00, 700
10/12/20, 380.00, 380.00, 380.00, 380.00, 100
09/18/20, 385.00, 385.00, 385.00, 385.00, 100
09/07/20, 391.00, 391.00, 391.00, 391.00, 100
08/21/20, 391.00, 391.00, 391.00, 391.00, 100
08/17/20, 390.00, 390.00, 385.00, 385.25, 1600
08/13/20, 391.00, 391.00, 391.00, 391.00, 100
08/12/20, 397.00, 397.00, 397.00, 397.00, 100
