Date, Open, High, Low, Close, Volume
03/25/22, 320.00, 320.00, 320.00, 320.00, 200
02/23/22, 320.00, 320.00, 320.00, 320.00, 100
02/14/22, 320.00, 320.00, 320.00, 320.00, 200
02/11/22, 320.00, 320.00, 320.00, 320.00, 300
02/03/22, 320.00, 320.00, 320.00, 320.00, 800
01/21/22, 320.00, 320.00, 320.00, 320.00, 100
12/24/21, 320.00, 320.00, 320.00, 320.00, 200
12/21/21, 335.00, 335.00, 335.00, 335.00, 100
12/20/21, 305.00, 305.00, 305.00, 305.00, 100
11/22/21, 300.00, 300.00, 300.00, 300.00, 100
11/18/21, 300.00, 300.00, 285.00, 297.00, 500
11/09/21, 300.00, 300.00, 300.00, 300.00, 100
11/01/21, 300.00, 300.00, 300.00, 300.00, 100
10/14/21, 330.00, 330.00, 330.00, 330.00, 300
09/29/21, 300.00, 300.00, 300.00, 300.00, 200
09/17/21, 320.00, 320.00, 320.00, 320.00, 19500
09/16/21, 350.00, 350.00, 350.00, 350.00, 400
09/15/21, 350.00, 350.00, 350.00, 350.00, 400
09/07/21, 320.00, 320.00, 320.00, 320.00, 200
09/06/21, 320.00, 320.00, 320.00, 320.00, 100
09/03/21, 320.00, 320.00, 320.00, 320.00, 13200
09/01/21, 320.00, 320.00, 320.00, 320.00, 21400
08/31/21, 320.00, 320.00, 320.00, 320.00, 100
08/24/21, 300.00, 300.00, 300.00, 300.00, 800
08/06/21, 300.00, 300.00, 300.00, 300.00, 100
08/04/21, 320.00, 320.00, 320.00, 320.00, 37800
08/02/21, 285.00, 308.00, 285.00, 304.75, 19800
07/30/21, 280.00, 280.00, 280.00, 280.00, 800
07/29/21, 260.00, 280.00, 260.00, 263.00, 4200
07/23/21, 280.00, 280.00, 280.00, 280.00, 600
07/19/21, 290.00, 290.00, 290.00, 290.00, 300
07/16/21, 295.00, 295.00, 295.00, 295.00, 1500
07/15/21, 295.00, 295.00, 295.00, 295.00, 600
07/12/21, 300.00, 300.00, 300.00, 300.00, 100
07/06/21, 300.00, 300.00, 300.00, 300.00, 1600
06/23/21, 320.00, 320.00, 320.00, 320.00, 100
05/04/21, 340.00, 340.00, 340.00, 340.00, 100
04/22/21, 360.00, 360.00, 360.00, 360.00, 100
04/07/21, 360.00, 360.00, 360.00, 360.00, 100
03/01/21, 360.00, 360.00, 360.00, 360.00, 100
02/19/21, 360.00, 360.00, 360.00, 360.00, 100
02/17/21, 360.00, 360.00, 360.00, 360.00, 100
01/04/21, 360.00, 360.00, 360.00, 360.00, 100
12/23/20, 360.00, 360.00, 360.00, 360.00, 300
12/07/20, 360.00, 360.00, 360.00, 360.00, 300
11/11/20, 360.00, 360.00, 360.00, 360.00, 100
11/10/20, 360.00, 360.00, 360.00, 360.00, 400
11/05/20, 360.00, 360.00, 360.00, 360.00, 100
11/03/20, 360.00, 360.00, 360.00, 360.00, 100
10/22/20, 400.00, 400.00, 400.00, 400.00, 100
10/13/20, 400.00, 400.00, 400.00, 400.00, 200
10/05/20, 400.00, 400.00, 400.00, 400.00, 200
09/25/20, 400.00, 400.00, 400.00, 400.00, 100
05/22/20, 385.00, 385.00, 385.00, 385.00, 100
