Date, Open, High, Low, Close, Volume
09/24/19, 0.27, 0.29, 0.27, 0.27, 249600
09/23/19, 0.28, 0.30, 0.27, 0.28, 32900
09/20/19, 0.28, 0.29, 0.27, 0.28, 371700
09/19/19, 0.28, 0.30, 0.28, 0.28, 122400
09/18/19, 0.30, 0.30, 0.28, 0.30, 92700
09/17/19, 0.28, 0.29, 0.28, 0.28, 10400
09/16/19, 0.28, 0.28, 0.27, 0.28, 80200
09/13/19, 0.28, 0.30, 0.27, 0.28, 258800
09/12/19, 0.29, 0.30, 0.28, 0.29, 32400
09/11/19, 0.29, 0.30, 0.29, 0.29, 17000
09/10/19, 0.29, 0.30, 0.28, 0.29, 135000
09/09/19, 0.28, 0.29, 0.28, 0.28, 281200
09/06/19, 0.29, 0.30, 0.28, 0.29, 71800
09/05/19, 0.30, 0.30, 0.29, 0.30, 268700
09/04/19, 0.30, 0.30, 0.28, 0.30, 300800
09/03/19, 0.28, 0.29, 0.27, 0.28, 755900
09/02/19, 0.28, 0.30, 0.28, 0.28, 61800
08/30/19, 0.29, 0.30, 0.27, 0.29, 134700
08/29/19, 0.30, 0.31, 0.29, 0.30, 86400
08/28/19, 0.30, 0.31, 0.29, 0.30, 111000
08/27/19, 0.29, 0.29, 0.28, 0.29, 107200
08/26/19, 0.27, 0.31, 0.27, 0.27, 706100
08/23/19, 0.30, 0.30, 0.29, 0.30, 100400
08/22/19, 0.29, 0.30, 0.28, 0.29, 157200
08/21/19, 0.30, 0.31, 0.29, 0.30, 422800
08/20/19, 0.30, 0.33, 0.29, 0.30, 388200
08/19/19, 0.30, 0.33, 0.29, 0.30, 276800
08/16/19, 0.30, 0.33, 0.30, 0.30, 224700
08/15/19, 0.30, 0.35, 0.30, 0.30, 449400
08/14/19, 0.30, 0.35, 0.30, 0.30, 419700
08/13/19, 0.32, 0.33, 0.31, 0.32, 228800
08/09/19, 0.34, 0.35, 0.32, 0.34, 65300
08/08/19, 0.33, 0.34, 0.33, 0.33, 352300
08/07/19, 0.33, 0.35, 0.32, 0.33, 66400
08/06/19, 0.32, 0.34, 0.32, 0.32, 118600
08/05/19, 0.35, 0.35, 0.33, 0.35, 130300
08/02/19, 0.35, 0.35, 0.33, 0.35, 4500
08/01/19, 0.36, 0.38, 0.33, 0.36, 379000
07/31/19, 0.35, 0.37, 0.35, 0.35, 136400
07/30/19, 0.35, 0.37, 0.35, 0.35, 85000
07/29/19, 0.36, 0.37, 0.34, 0.36, 74300
07/26/19, 0.35, 0.38, 0.34, 0.35, 188000
07/25/19, 0.36, 0.38, 0.35, 0.36, 24500
07/24/19, 0.36, 0.38, 0.35, 0.36, 126700
07/23/19, 0.38, 0.39, 0.35, 0.38, 59800
07/22/19, 0.38, 0.39, 0.36, 0.38, 260500
07/19/19, 0.38, 0.38, 0.37, 0.38, 280400
07/18/19, 0.35, 0.38, 0.34, 0.35, 410700
07/17/19, 0.35, 0.38, 0.35, 0.35, 200800
07/16/19, 0.38, 0.38, 0.35, 0.38, 395500
07/15/19, 0.36, 0.38, 0.35, 0.36, 79700
07/12/19, 0.35, 0.38, 0.32, 0.35, 185000
07/11/19, 0.35, 0.37, 0.35, 0.35, 96700
07/10/19, 0.37, 0.38, 0.35, 0.37, 63200
07/09/19, 0.38, 0.38, 0.36, 0.38, 132700
07/08/19, 0.36, 0.39, 0.35, 0.36, 411400
07/05/19, 0.38, 0.38, 0.35, 0.38, 141900
07/04/19, 0.35, 0.35, 0.33, 0.35, 519100
07/03/19, 0.32, 0.33, 0.31, 0.32, 130500
07/02/19, 0.30, 0.34, 0.29, 0.30, 819600
07/01/19, 0.32, 0.36, 0.31, 0.32, 336600
06/28/19, 0.34, 0.36, 0.32, 0.34, 181900
06/27/19, 0.35, 0.35, 0.32, 0.35, 215700
06/26/19, 0.32, 0.34, 0.31, 0.32, 224400
06/25/19, 0.32, 0.33, 0.31, 0.32, 347300
06/24/19, 0.34, 0.36, 0.32, 0.34, 436600
