"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 12, 2021","180.67","180.67","180.67","180.67","-","0.06%"
"Aug 11, 2021","180.56","180.56","180.56","180.56","-","0.02%"
"Aug 10, 2021","180.53","180.53","180.53","180.53","-","0.04%"
"Aug 09, 2021","180.46","180.46","180.46","180.46","-","1.10%"
"Aug 06, 2021","178.50","178.50","178.50","178.50","-","1.48%"
"Aug 05, 2021","175.89","175.89","175.89","175.89","-","0.30%"
"Aug 04, 2021","175.37","175.37","175.37","175.37","-","0.12%"
"Aug 03, 2021","175.16","175.16","175.16","175.16","-","-0.57%"
"Aug 02, 2021","176.16","176.16","176.16","176.16","-","-0.77%"
"Jul 30, 2021","177.52","177.52","177.52","177.52","-","-0.16%"
"Jul 29, 2021","177.81","177.81","177.81","177.81","-","0.50%"
"Jul 28, 2021","176.92","176.92","176.92","176.92","-","-0.12%"
"Jul 27, 2021","177.14","177.14","177.14","177.14","-","-1.29%"
"Jul 26, 2021","179.45","179.45","179.45","179.45","-","0.26%"
"Jul 23, 2021","178.98","178.98","178.98","178.98","-","-0.02%"
"Jul 22, 2021","179.01","179.01","179.01","179.01","-","0.07%"
"Jul 21, 2021","178.89","178.89","178.89","178.89","-","0.16%"
"Jul 19, 2021","178.61","178.61","178.61","178.61","-","-0.02%"
"Jul 16, 2021","178.65","178.65","178.65","178.65","-","-0.07%"
"Jul 15, 2021","178.78","178.78","178.78","178.78","-","1.49%"
"Jul 14, 2021","176.15","176.15","176.15","176.15","-","0.75%"
"Jul 13, 2021","174.84","174.84","174.84","174.84","-","0.23%"
"Jul 12, 2021","174.44","174.44","174.44","174.44","-","-0.45%"
"Jul 09, 2021","175.22","175.22","175.22","175.22","-","-0.24%"
"Jul 08, 2021","175.64","175.64","175.64","175.64","-","0.48%"
"Jul 07, 2021","174.80","174.80","174.80","174.80","-","0.50%"
"Jul 06, 2021","173.93","173.93","173.93","173.93","-","-0.02%"
"Jul 05, 2021","173.97","173.97","173.97","173.97","-","1.61%"
