Date, Open, High, Low, Close, Volume
08/30/19, 4.12, 4.33, 3.75, 4.12, 30200
08/29/19, 3.94, 4.00, 3.75, 3.94, 40400
08/28/19, 3.80, 3.80, 3.75, 3.80, 13700
08/27/19, 3.75, 3.95, 3.70, 3.75, 11000
08/26/19, 3.83, 3.85, 3.70, 3.83, 6800
08/23/19, 3.73, 3.80, 3.70, 3.73, 16700
08/22/19, 3.74, 3.75, 3.70, 3.74, 15100
08/21/19, 3.69, 3.75, 3.65, 3.69, 600
08/20/19, 3.57, 3.75, 3.40, 3.57, 26500
08/19/19, 3.75, 3.75, 3.50, 3.75, 6100
08/16/19, 3.76, 3.96, 3.60, 3.76, 10900
08/15/19, 3.75, 3.85, 3.56, 3.75, 3900
08/14/19, 3.69, 3.80, 3.50, 3.69, 4700
08/13/19, 3.85, 3.86, 3.80, 3.85, 5700
08/09/19, 3.94, 3.95, 3.80, 3.94, 4900
08/08/19, 3.86, 3.95, 3.85, 3.86, 11100
08/07/19, 3.87, 3.90, 3.87, 3.87, 3500
08/06/19, 3.86, 3.90, 3.85, 3.86, 22100
08/05/19, 3.85, 3.85, 3.85, 3.85, 9700
08/02/19, 3.87, 4.00, 3.85, 3.87, 3600
08/01/19, 3.98, 4.00, 3.90, 3.98, 3600
07/31/19, 3.85, 3.85, 3.85, 3.85, 1100
07/30/19, 3.57, 3.85, 3.50, 3.57, 114000
07/29/19, 3.87, 4.00, 3.85, 3.87, 5600
07/26/19, 3.88, 4.00, 3.85, 3.88, 15100
07/25/19, 3.95, 4.10, 3.85, 3.95, 5200
07/24/19, 3.99, 4.00, 3.85, 3.99, 14800
07/23/19, 4.00, 4.00, 4.00, 4.00, 7400
07/22/19, 3.94, 4.00, 3.90, 3.94, 900
07/19/19, 3.91, 4.00, 3.82, 3.91, 200
07/18/19, 3.95, 4.14, 3.82, 3.95, 3000
07/17/19, 4.02, 4.10, 4.00, 4.02, 4900
07/16/19, 4.02, 4.05, 4.00, 4.02, 2400
07/15/19, 4.05, 4.05, 4.05, 4.05, 1700
07/12/19, 4.09, 4.14, 4.00, 4.09, 5900
07/11/19, 4.24, 4.38, 4.00, 4.24, 24000
07/10/19, 4.06, 4.14, 4.00, 4.06, 2500
07/09/19, 4.13, 4.14, 4.01, 4.13, 19100
07/08/19, 4.00, 4.01, 3.90, 4.00, 5500
07/05/19, 4.14, 4.20, 4.00, 4.14, 6200
07/04/19, 4.14, 4.14, 4.14, 4.14, 1500
07/03/19, 4.24, 4.40, 4.14, 4.24, 1900
07/02/19, 4.14, 4.24, 4.00, 4.14, 3000
07/01/19, 4.00, 4.00, 4.00, 4.00, 5600
06/28/19, 4.14, 4.40, 4.00, 4.14, 4300
06/27/19, 4.07, 4.40, 4.00, 4.07, 1800
06/26/19, 4.00, 4.01, 4.00, 4.00, 3300
