"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 04, 2022","1,901.18","1,901.18","1,901.18","1,901.18","-","-0.02%"
"Feb 03, 2022","1,901.48","1,901.48","1,901.48","1,901.48","-","0.45%"
"Feb 02, 2022","1,892.89","1,892.89","1,892.89","1,892.89","-","0.19%"
"Feb 01, 2022","1,889.37","1,889.37","1,889.37","1,889.37","-","0.00%"
"Jan 31, 2022","1,889.33","1,889.33","1,889.33","1,889.33","-","0.75%"
"Jan 28, 2022","1,875.33","1,875.33","1,875.33","1,875.33","-","-0.20%"
"Jan 27, 2022","1,879.15","1,879.15","1,879.15","1,879.15","-","-0.20%"
"Jan 26, 2022","1,882.94","1,882.94","1,882.94","1,882.94","-","0.08%"
"Jan 25, 2022","1,881.42","1,881.42","1,881.42","1,881.42","-","-0.27%"
"Jan 24, 2022","1,886.48","1,886.48","1,886.48","1,886.48","-","-0.32%"
"Jan 21, 2022","1,892.54","1,892.54","1,892.54","1,892.54","-","0.31%"
"Jan 20, 2022","1,886.66","1,886.66","1,886.66","1,886.66","-","-0.16%"
"Jan 19, 2022","1,889.69","1,889.69","1,889.69","1,889.69","-","-0.03%"
"Jan 18, 2022","1,890.28","1,890.28","1,890.28","1,890.28","-","-0.02%"
"Jan 17, 2022","1,890.59","1,890.59","1,890.59","1,890.59","-","-0.48%"
"Jan 14, 2022","1,899.79","1,899.79","1,899.79","1,899.79","-","0.75%"
"Jan 13, 2022","1,885.63","1,885.63","1,885.63","1,885.63","-","-0.55%"
"Jan 12, 2022","1,896.07","1,896.07","1,896.07","1,896.07","-","-0.46%"
"Jan 11, 2022","1,904.81","1,904.81","1,904.81","1,904.81","-","-0.40%"
"Jan 10, 2022","1,912.54","1,912.54","1,912.54","1,912.54","-","-0.41%"
"Jan 07, 2022","1,920.38","1,920.38","1,920.38","1,920.38","-","0.03%"
"Jan 06, 2022","1,919.79","1,919.79","1,919.79","1,919.79","-","0.21%"
"Jan 05, 2022","1,915.73","1,915.73","1,915.73","1,915.73","-","-0.09%"
"Jan 04, 2022","1,917.50","1,917.50","1,917.50","1,917.50","-","0.17%"
"Jan 03, 2022","1,914.29","1,914.29","1,914.29","1,914.29","-","0.62%"
"Dec 31, 2021","1,902.57","1,902.57","1,902.57","1,902.57","-","0.26%"
"Dec 30, 2021","1,897.62","1,897.62","1,897.62","1,897.62","-","-0.09%"
"Dec 29, 2021","1,899.29","1,899.29","1,899.29","1,899.29","-","0.49%"
"Dec 28, 2021","1,890.05","1,890.05","1,890.05","1,890.05","-","-0.63%"
"Dec 24, 2021","1,901.97","1,901.97","1,901.97","1,901.97","-","0.62%"
"Dec 23, 2021","1,890.21","1,890.21","1,890.21","1,890.21","-","0.94%"
"Dec 22, 2021","1,872.60","1,872.60","1,872.60","1,872.60","-","0.08%"
"Dec 21, 2021","1,871.02","1,871.02","1,871.02","1,871.02","-","0.28%"
"Dec 20, 2021","1,865.84","1,865.84","1,865.84","1,865.84","-","0.61%"
"Dec 17, 2021","1,854.55","1,854.55","1,854.55","1,854.55","-","-0.42%"
"Dec 16, 2021","1,862.44","1,862.44","1,862.44","1,862.44","-","-0.38%"
"Dec 15, 2021","1,869.49","1,869.49","1,869.49","1,869.49","-","0.34%"
"Dec 14, 2021","1,863.18","1,863.18","1,863.18","1,863.18","-","0.36%"
"Dec 10, 2021","1,856.45","1,856.45","1,856.45","1,856.45","-","0.97%"
"Dec 09, 2021","1,838.69","1,838.69","1,838.69","1,838.69","-","0.43%"
"Dec 08, 2021","1,830.85","1,830.85","1,830.85","1,830.85","-","0.45%"
"Dec 07, 2021","1,822.72","1,822.72","1,822.72","1,822.72","-","0.03%"
"Dec 06, 2021","1,822.26","1,822.26","1,822.26","1,822.26","-","-0.94%"
"Dec 03, 2021","1,839.46","1,839.46","1,839.46","1,839.46","-","-0.25%"
"Dec 02, 2021","1,844.03","1,844.03","1,844.03","1,844.03","-","-1.18%"
"Dec 01, 2021","1,866.08","1,866.08","1,866.08","1,866.08","-","-0.28%"
"Nov 30, 2021","1,871.31","1,871.31","1,871.31","1,871.31","-","-0.90%"
"Nov 29, 2021","1,888.29","1,888.29","1,888.29","1,888.29","-","0.10%"
"Nov 26, 2021","1,886.35","1,886.35","1,886.35","1,886.35","-","0.77%"
"Nov 25, 2021","1,871.93","1,871.93","1,871.93","1,871.93","-","0.27%"
"Nov 24, 2021","1,866.97","1,866.97","1,866.97","1,866.97","-","-0.61%"
"Nov 23, 2021","1,878.46","1,878.46","1,878.46","1,878.46","-","0.13%"
"Nov 22, 2021","1,876.11","1,876.11","1,876.11","1,876.11","-","-0.93%"
"Nov 19, 2021","1,893.65","1,893.65","1,893.65","1,893.65","-","0.16%"
"Nov 18, 2021","1,890.59","1,890.59","1,890.59","1,890.59","-","-0.50%"
"Nov 17, 2021","1,900.18","1,900.18","1,900.18","1,900.18","-","-0.57%"
"Nov 16, 2021","1,911.00","1,911.00","1,911.00","1,911.00","-","-0.34%"
"Nov 15, 2021","1,917.51","1,917.51","1,917.51","1,917.51","-","-0.13%"
"Nov 12, 2021","1,919.95","1,919.95","1,919.95","1,919.95","-","-0.57%"
"Nov 11, 2021","1,931.01","1,931.01","1,931.01","1,931.01","-","-0.12%"
"Nov 10, 2021","1,933.28","1,933.28","1,933.28","1,933.28","-","-0.08%"
"Nov 09, 2021","1,934.83","1,934.83","1,934.83","1,934.83","-","-0.06%"
"Nov 08, 2021","1,935.91","1,935.91","1,935.91","1,935.91","-","-0.66%"
"Nov 05, 2021","1,948.87","1,948.87","1,948.87","1,948.87","-","-0.38%"
"Nov 04, 2021","1,956.28","1,956.28","1,956.28","1,956.28","-","-0.63%"
"Nov 03, 2021","1,968.60","1,968.60","1,968.60","1,968.60","-","0.51%"
"Nov 02, 2021","1,958.66","1,958.66","1,958.66","1,958.66","-","-0.68%"
"Nov 01, 2021","1,972.02","1,972.02","1,972.02","1,972.02","-","0.55%"
"Oct 29, 2021","1,961.33","1,961.33","1,961.33","1,961.33","-","0.05%"
"Oct 28, 2021","1,960.30","1,960.30","1,960.30","1,960.30","-","0.26%"
"Oct 27, 2021","1,955.23","1,955.23","1,955.23","1,955.23","-","0.42%"
"Oct 26, 2021","1,946.97","1,946.97","1,946.97","1,946.97","-","0.09%"
"Oct 25, 2021","1,945.20","1,945.20","1,945.20","1,945.20","-","-0.79%"
"Oct 22, 2021","1,960.75","1,960.75","1,960.75","1,960.75","-","-0.03%"
"Oct 21, 2021","1,961.32","1,961.32","1,961.32","1,961.32","-","0.08%"
"Oct 19, 2021","1,959.67","1,959.67","1,959.67","1,959.67","-","-0.16%"
"Oct 18, 2021","1,962.74","1,962.74","1,962.74","1,962.74","-","-0.39%"
"Oct 15, 2021","1,970.44","1,970.44","1,970.44","1,970.44","-","-0.13%"
"Oct 14, 2021","1,972.91","1,972.91","1,972.91","1,972.91","-","-0.06%"
"Oct 13, 2021","1,974.15","1,974.15","1,974.15","1,974.15","-","-0.37%"
"Oct 12, 2021","1,981.44","1,981.44","1,981.44","1,981.44","-","-0.58%"
"Oct 08, 2021","1,992.92","1,992.92","1,992.92","1,992.92","-","-0.46%"
"Oct 07, 2021","2,002.23","2,002.23","2,002.23","2,002.23","-","-0.79%"
"Oct 06, 2021","2,018.13","2,018.13","2,018.13","2,018.13","-","0.12%"
"Oct 05, 2021","2,015.81","2,015.81","2,015.81","2,015.81","-","-0.58%"
"Oct 04, 2021","2,027.64","2,027.64","2,027.64","2,027.64","-","-0.51%"
"Oct 01, 2021","2,038.08","2,038.08","2,038.08","2,038.08","-","0.34%"
"Sep 30, 2021","2,031.17","2,031.17","2,031.17","2,031.17","-","0.05%"
"Sep 29, 2021","2,030.15","2,030.15","2,030.15","2,030.15","-","-0.86%"
"Sep 28, 2021","2,047.82","2,047.82","2,047.82","2,047.82","-","-0.37%"
"Sep 27, 2021","2,055.40","2,055.40","2,055.40","2,055.40","-","0.77%"
"Sep 24, 2021","2,039.75","2,039.75","2,039.75","2,039.75","-","-0.31%"
"Sep 23, 2021","2,046.17","2,046.17","2,046.17","2,046.17","-","0.15%"
"Sep 22, 2021","2,043.06","2,043.06","2,043.06","2,043.06","-","0.19%"
"Sep 21, 2021","2,039.21","2,039.21","2,039.21","2,039.21","-","-0.86%"
"Sep 20, 2021","2,056.99","2,056.99","2,056.99","2,056.99","-","-0.22%"
"Sep 17, 2021","2,061.45","2,061.45","2,061.45","2,061.45","-","0.47%"
"Sep 16, 2021","2,051.80","2,051.80","2,051.80","2,051.80","-","0.26%"
"Sep 15, 2021","2,046.58","2,046.58","2,046.58","2,046.58","-","-0.62%"
"Sep 14, 2021","2,059.33","2,059.33","2,059.33","2,059.33","-","-0.10%"
"Sep 13, 2021","2,061.36","2,061.36","2,061.36","2,061.36","-","-0.10%"
"Sep 10, 2021","2,063.44","2,063.44","2,063.44","2,063.44","-","0.06%"
"Sep 09, 2021","2,062.22","2,062.22","2,062.22","2,062.22","-","-0.21%"
"Sep 08, 2021","2,066.46","2,066.46","2,066.46","2,066.46","-","0.66%"
"Sep 07, 2021","2,053.00","2,053.00","2,053.00","2,053.00","-","0.71%"
"Sep 06, 2021","2,038.45","2,038.45","2,038.45","2,038.45","-","0.65%"
"Sep 03, 2021","2,025.37","2,025.37","2,025.37","2,025.37","-","0.05%"
"Sep 02, 2021","2,024.40","2,024.40","2,024.40","2,024.40","-","-0.09%"
"Sep 01, 2021","2,026.14","2,026.14","2,026.14","2,026.14","-","0.27%"
"Aug 31, 2021","2,020.77","2,020.77","2,020.77","2,020.77","-","-0.55%"
"Aug 30, 2021","2,032.02","2,032.02","2,032.02","2,032.02","-","-0.11%"
"Aug 27, 2021","2,034.30","2,034.30","2,034.30","2,034.30","-","-0.22%"
"Aug 26, 2021","2,038.77","2,038.77","2,038.77","2,038.77","-","0.33%"
"Aug 25, 2021","2,032.09","2,032.09","2,032.09","2,032.09","-","0.06%"
"Aug 24, 2021","2,030.87","2,030.87","2,030.87","2,030.87","-","0.52%"
"Aug 23, 2021","2,020.37","2,020.37","2,020.37","2,020.37","-","0.23%"
