Date, Open, High, Low, Close, Volume
02/24/22, 2.00, 2.00, 1.90, 1.91, 1700
02/23/22, 2.10, 2.10, 2.10, 2.10, 200
02/22/22, 2.00, 2.08, 2.00, 2.01, 2300
02/21/22, 2.09, 2.09, 2.09, 2.09, 600
02/18/22, 2.09, 2.09, 2.09, 2.09, 400
02/17/22, 2.09, 2.10, 2.09, 2.09, 1000
02/16/22, 2.10, 2.10, 1.91, 2.07, 700
02/15/22, 2.10, 2.10, 2.10, 2.10, 300
02/10/22, 2.10, 2.10, 1.90, 1.91, 2300
02/09/22, 2.05, 2.05, 2.05, 2.05, 500
02/08/22, 2.05, 2.05, 2.05, 2.05, 1000
02/07/22, 2.00, 2.10, 2.00, 2.05, 3200
02/04/22, 2.10, 2.10, 2.10, 2.10, 1000
02/03/22, 2.10, 2.10, 2.10, 2.10, 100
02/02/22, 1.99, 2.00, 1.99, 1.99, 1500
02/01/22, 1.99, 2.00, 1.99, 1.99, 800
01/31/22, 1.85, 1.99, 1.85, 1.85, 29300
01/28/22, 1.93, 1.99, 1.85, 1.93, 3300
01/26/22, 1.89, 1.99, 1.87, 1.93, 4800
01/25/22, 1.89, 1.99, 1.87, 1.87, 40100
01/24/22, 1.90, 2.00, 1.89, 1.99, 32500
01/21/22, 1.81, 1.91, 1.80, 1.89, 19000
01/20/22, 2.00, 2.00, 1.76, 1.86, 2800
01/19/22, 1.93, 1.93, 1.93, 1.93, 700
01/17/22, 1.80, 1.80, 1.76, 1.76, 20100
01/14/22, 1.80, 1.80, 1.80, 1.80, 500
01/13/22, 1.80, 1.99, 1.80, 1.80, 7700
01/11/22, 1.80, 1.96, 1.80, 1.84, 900
01/10/22, 1.97, 1.97, 1.80, 1.80, 5200
01/07/22, 1.80, 1.95, 1.80, 1.88, 400
01/05/22, 1.96, 2.00, 1.96, 1.97, 600
01/04/22, 2.00, 2.00, 1.92, 1.96, 800
01/03/22, 1.92, 1.92, 1.90, 1.90, 2200
12/31/21, 2.00, 2.00, 2.00, 2.00, 100
12/30/21, 2.16, 2.16, 1.95, 1.99, 3300
12/29/21, 1.95, 1.99, 1.95, 1.97, 2100
12/28/21, 1.78, 1.95, 1.78, 1.81, 1300
12/24/21, 1.78, 1.78, 1.78, 1.78, 3000
12/23/21, 2.00, 2.00, 1.93, 1.97, 3400
12/22/21, 2.00, 2.00, 2.00, 2.00, 9000
12/21/21, 1.92, 1.92, 1.92, 1.92, 9000
12/20/21, 2.00, 2.00, 2.00, 2.00, 200
12/17/21, 1.98, 1.98, 1.98, 1.98, 100
12/16/21, 1.95, 1.95, 1.95, 1.95, 100
12/15/21, 1.80, 1.99, 1.80, 1.80, 17900
12/14/21, 1.99, 2.00, 1.80, 1.95, 3100
12/10/21, 1.99, 1.99, 1.99, 1.99, 200
12/09/21, 1.99, 1.99, 1.99, 1.99, 100
12/08/21, 1.99, 1.99, 1.99, 1.99, 100
12/07/21, 1.94, 1.99, 1.94, 1.97, 200
12/06/21, 1.95, 1.99, 1.90, 1.94, 1400
12/02/21, 1.99, 1.99, 1.99, 1.99, 100
12/01/21, 1.99, 1.99, 1.99, 1.99, 100
11/30/21, 1.81, 1.81, 1.80, 1.81, 15400
11/29/21, 1.80, 2.00, 1.80, 1.98, 2000
11/26/21, 2.00, 2.00, 2.00, 2.00, 2100
11/25/21, 2.00, 2.00, 1.81, 1.95, 7000
11/24/21, 2.00, 2.00, 2.00, 2.00, 100
11/23/21, 1.82, 1.82, 1.82, 1.82, 400
11/22/21, 2.00, 2.00, 2.00, 2.00, 200
11/19/21, 1.99, 2.00, 1.99, 2.00, 1700
11/18/21, 1.99, 2.00, 1.99, 1.99, 1000
11/17/21, 2.00, 2.00, 1.80, 1.82, 1000
11/16/21, 2.00, 2.00, 1.90, 1.93, 300
11/15/21, 2.00, 2.00, 2.00, 2.00, 1500
11/10/21, 2.00, 2.00, 2.00, 2.00, 500
11/09/21, 1.97, 1.97, 1.97, 1.97, 400
11/08/21, 1.90, 2.00, 1.90, 1.97, 700
11/04/21, 1.98, 2.00, 1.90, 1.92, 2600
11/03/21, 2.00, 2.00, 2.00, 2.00, 1900
