Date, Open, High, Low, Close, Volume
04/05/22, 6.90, 6.90, 6.90, 6.90, 300
04/04/22, 6.90, 6.90, 6.90, 6.90, 100
03/31/22, 6.90, 6.90, 6.30, 6.54, 500
03/30/22, 6.90, 6.90, 6.90, 6.90, 1000
03/25/22, 6.34, 6.34, 6.34, 6.34, 100
03/24/22, 6.90, 6.90, 6.90, 6.90, 100
03/22/22, 6.30, 6.90, 6.30, 6.34, 1900
03/21/22, 6.30, 6.30, 6.30, 6.30, 200
03/17/22, 6.30, 6.30, 6.30, 6.30, 500
03/11/22, 6.30, 6.30, 6.30, 6.30, 100
03/08/22, 7.00, 7.00, 7.00, 7.00, 700
03/02/22, 7.10, 7.10, 7.10, 7.10, 100
03/01/22, 6.88, 6.88, 6.88, 6.88, 100
02/28/22, 6.88, 6.88, 6.88, 6.88, 100
02/25/22, 6.70, 7.00, 6.70, 6.88, 500
02/24/22, 6.98, 6.98, 6.98, 6.98, 200
02/23/22, 6.80, 6.80, 6.70, 6.78, 700
02/22/22, 7.00, 7.00, 7.00, 7.00, 100
02/17/22, 7.10, 7.10, 7.10, 7.10, 200
02/16/22, 7.20, 7.20, 7.20, 7.20, 500
02/10/22, 6.70, 6.70, 6.70, 6.70, 4100
02/09/22, 6.70, 6.70, 6.70, 6.70, 200
02/07/22, 6.70, 6.70, 6.70, 6.70, 800
02/03/22, 6.70, 6.70, 6.70, 6.70, 600
02/02/22, 6.70, 6.70, 6.70, 6.70, 3600
01/31/22, 7.30, 7.30, 7.20, 7.30, 1500
01/28/22, 7.30, 7.30, 7.30, 7.30, 200
01/27/22, 7.30, 7.30, 7.30, 7.30, 1900
01/26/22, 7.10, 7.10, 7.10, 7.10, 200
01/25/22, 7.20, 7.20, 7.20, 7.20, 200
01/20/22, 7.20, 7.20, 7.20, 7.20, 100
01/18/22, 7.00, 7.00, 6.50, 6.58, 600
01/14/22, 7.02, 7.02, 6.90, 7.00, 800
01/12/22, 7.00, 7.10, 7.00, 7.02, 12300
01/11/22, 7.20, 7.20, 7.20, 7.20, 3600
01/10/22, 7.00, 7.00, 7.00, 7.00, 1000
01/07/22, 7.00, 7.00, 7.00, 7.00, 100
01/06/22, 7.00, 7.20, 7.00, 7.02, 1000
01/05/22, 7.10, 7.10, 6.50, 6.90, 300
01/03/22, 6.50, 6.50, 6.50, 6.50, 100
12/31/21, 6.66, 6.66, 6.66, 6.66, 100
12/21/21, 6.06, 6.06, 6.06, 6.06, 900
12/16/21, 6.46, 6.46, 6.00, 6.06, 25000
12/15/21, 7.00, 7.00, 6.42, 6.52, 600
12/14/21, 7.00, 7.00, 7.00, 7.00, 100
12/10/21, 7.00, 7.00, 6.42, 6.48, 1100
12/09/21, 7.10, 7.10, 7.00, 7.00, 3100
12/07/21, 7.00, 7.00, 7.00, 7.00, 300
12/06/21, 7.00, 7.00, 7.00, 7.00, 200
12/03/21, 7.00, 7.00, 7.00, 7.00, 1000
12/02/21, 7.02, 7.02, 7.00, 7.00, 22100
12/01/21, 7.00, 7.50, 7.00, 7.04, 1300
11/29/21, 7.00, 7.00, 7.00, 7.00, 100
11/26/21, 7.60, 7.60, 7.60, 7.60, 100
11/24/21, 7.60, 7.60, 7.60, 7.60, 200
11/19/21, 7.20, 7.20, 7.20, 7.20, 300
11/18/21, 7.20, 7.20, 7.20, 7.20, 100
11/17/21, 7.20, 7.20, 7.20, 7.20, 300
11/15/21, 8.00, 8.00, 8.00, 8.00, 300
11/10/21, 8.00, 8.00, 8.00, 8.00, 300
11/08/21, 8.00, 8.00, 8.00, 8.00, 100
11/05/21, 8.00, 8.00, 8.00, 8.00, 100
11/04/21, 8.00, 8.00, 8.00, 8.00, 200
11/03/21, 8.00, 8.00, 8.00, 8.00, 200
11/02/21, 7.90, 8.00, 7.90, 8.00, 26700
11/01/21, 8.10, 8.10, 8.00, 8.10, 3300
10/29/21, 7.80, 7.80, 7.80, 7.80, 1500
10/27/21, 8.00, 8.00, 7.22, 7.80, 400
