Date, Open, High, Low, Close, Volume
01/06/22, 14.90, 14.90, 14.90, 14.90, 100
12/28/21, 13.55, 13.55, 13.55, 13.55, 100
12/20/21, 14.95, 14.95, 14.95, 14.95, 100
12/17/21, 14.95, 14.95, 14.00, 14.50, 200
12/16/21, 14.95, 14.95, 14.95, 14.95, 4700
12/15/21, 13.65, 13.65, 13.65, 13.65, 400
12/14/21, 13.60, 13.60, 13.60, 13.60, 100
12/09/21, 14.90, 14.90, 14.90, 14.90, 400
12/08/21, 13.55, 13.55, 13.55, 13.55, 1800
12/07/21, 14.90, 14.90, 13.55, 14.45, 300
12/06/21, 13.55, 13.55, 13.55, 13.55, 100
12/03/21, 14.65, 14.75, 14.65, 14.65, 1100
12/02/21, 13.65, 13.65, 13.50, 13.50, 1200
12/01/21, 13.55, 13.55, 13.55, 13.55, 100
11/30/21, 15.00, 15.00, 15.00, 15.00, 500
11/29/21, 14.85, 15.00, 14.85, 14.90, 3600
11/26/21, 14.85, 14.85, 14.85, 14.85, 100
11/25/21, 15.00, 15.00, 15.00, 15.00, 100
11/23/21, 14.95, 14.95, 14.70, 14.85, 600
11/22/21, 15.85, 15.85, 15.00, 15.30, 1500
11/19/21, 15.50, 15.50, 15.50, 15.50, 300
11/18/21, 15.50, 15.50, 14.45, 14.70, 2800
11/16/21, 14.50, 14.50, 14.45, 14.45, 8600
11/15/21, 14.45, 14.45, 14.45, 14.45, 100
11/12/21, 16.00, 16.00, 16.00, 16.00, 300
11/10/21, 16.00, 16.00, 16.00, 16.00, 300
11/09/21, 16.00, 16.00, 16.00, 16.00, 600
11/05/21, 16.00, 16.00, 16.00, 16.00, 3300
11/04/21, 16.00, 16.00, 16.00, 16.00, 300
11/02/21, 15.00, 15.00, 15.00, 15.00, 23400
11/01/21, 15.00, 15.00, 15.00, 15.00, 1400
10/29/21, 15.00, 15.00, 15.00, 15.00, 200
10/28/21, 15.00, 15.00, 15.00, 15.00, 2700
