Date, Open, High, Low, Close, Volume
04/04/22, 11.10, 11.40, 11.10, 11.20, 1500
04/01/22, 11.00, 11.00, 11.00, 11.00, 20000
03/28/22, 11.00, 11.00, 11.00, 11.00, 300
03/24/22, 11.75, 11.75, 11.00, 11.40, 200
03/17/22, 11.00, 11.00, 11.00, 11.00, 300
03/15/22, 11.55, 11.55, 11.55, 11.55, 100
03/14/22, 11.55, 11.55, 11.55, 11.55, 1900
03/11/22, 12.75, 12.75, 12.75, 12.75, 200
03/10/22, 12.00, 12.00, 12.00, 12.00, 1200
03/09/22, 13.25, 13.25, 13.25, 13.25, 100
03/08/22, 13.05, 13.05, 13.05, 13.05, 900
03/07/22, 12.00, 13.05, 12.00, 12.05, 1700
03/04/22, 12.30, 12.30, 11.50, 11.90, 200
03/03/22, 12.20, 13.05, 12.20, 12.25, 1300
03/01/22, 13.55, 13.55, 13.55, 13.55, 100
02/28/22, 13.50, 13.50, 13.50, 13.50, 200
02/22/22, 15.00, 15.00, 15.00, 15.00, 100
02/18/22, 15.00, 15.00, 15.00, 15.00, 3100
02/17/22, 13.00, 14.00, 13.00, 13.95, 3600
02/16/22, 13.00, 13.00, 13.00, 13.00, 3800
02/15/22, 11.00, 12.10, 11.00, 11.85, 4000
02/11/22, 11.00, 11.00, 11.00, 11.00, 1700
02/08/22, 10.50, 10.50, 10.50, 10.50, 1000
01/31/22, 9.74, 9.74, 9.74, 9.74, 1200
01/28/22, 9.70, 9.70, 9.70, 9.70, 1000
01/27/22, 10.60, 10.60, 10.50, 10.55, 400
01/24/22, 9.64, 11.50, 9.64, 10.55, 200
01/21/22, 10.60, 10.60, 10.50, 10.55, 1900
01/20/22, 10.50, 10.50, 10.50, 10.50, 200
01/13/22, 10.50, 10.50, 10.50, 10.50, 400
01/11/22, 10.60, 10.60, 10.60, 10.60, 100
01/10/22, 10.50, 10.50, 10.50, 10.50, 1000
12/20/21, 11.55, 11.55, 11.50, 11.55, 26800
12/17/21, 11.50, 11.50, 11.50, 11.50, 200
12/15/21, 11.50, 11.80, 11.50, 11.55, 4400
12/08/21, 11.50, 11.50, 11.50, 11.50, 400
12/07/21, 11.00, 12.00, 11.00, 11.55, 17200
12/06/21, 11.40, 11.40, 11.40, 11.40, 200
12/03/21, 11.50, 11.60, 11.50, 11.50, 25900
12/01/21, 11.50, 11.50, 11.50, 11.50, 5100
11/30/21, 11.50, 11.50, 11.50, 11.50, 5800
11/29/21, 12.00, 12.00, 11.50, 11.85, 300
11/25/21, 11.00, 11.00, 11.00, 11.00, 7800
11/24/21, 11.50, 11.50, 11.00, 11.40, 4200
11/19/21, 11.50, 11.50, 11.50, 11.50, 100
11/16/21, 11.85, 11.85, 11.50, 11.50, 4900
11/15/21, 11.50, 12.50, 11.50, 11.85, 3000
11/11/21, 11.50, 11.50, 11.50, 11.50, 100
11/10/21, 12.50, 12.50, 12.50, 12.50, 100
11/09/21, 12.50, 12.50, 12.50, 12.50, 400
11/08/21, 12.40, 12.40, 12.40, 12.40, 100
11/05/21, 12.00, 12.50, 12.00, 12.40, 800
11/04/21, 11.50, 11.50, 11.50, 11.50, 100
11/03/21, 12.00, 12.00, 12.00, 12.00, 200
11/02/21, 11.70, 11.70, 11.70, 11.70, 400
11/01/21, 11.70, 11.70, 11.70, 11.70, 100
10/26/21, 11.50, 11.50, 11.50, 11.50, 4000
10/25/21, 11.70, 11.70, 11.50, 11.60, 1000
10/22/21, 11.50, 11.70, 11.50, 11.65, 500
10/19/21, 11.50, 11.50, 11.50, 11.50, 600
10/18/21, 11.50, 11.50, 11.50, 11.50, 5000
10/15/21, 11.95, 11.95, 11.95, 11.95, 2700
10/13/21, 11.50, 12.85, 11.50, 11.95, 1300
10/12/21, 12.00, 12.00, 12.00, 12.00, 100
10/08/21, 11.90, 11.90, 11.90, 11.90, 100
10/07/21, 12.00, 12.00, 11.50, 11.55, 5800
10/06/21, 12.00, 12.00, 12.00, 12.00, 400
10/01/21, 11.50, 12.00, 11.50, 11.50, 4900
09/29/21, 11.50, 11.50, 11.50, 11.50, 200
09/28/21, 12.00, 12.00, 12.00, 12.00, 200
09/27/21, 11.90, 11.90, 11.90, 11.90, 1200
09/24/21, 11.80, 12.40, 11.80, 11.90, 4300
09/23/21, 11.50, 11.75, 11.50, 11.75, 10000
09/22/21, 11.50, 11.80, 11.50, 11.75, 2200
09/21/21, 11.50, 11.80, 11.50, 11.50, 5100
09/17/21, 11.25, 11.65, 11.25, 11.50, 16600
09/16/21, 11.50, 11.50, 11.00, 11.45, 5800
09/15/21, 11.00, 11.50, 11.00, 11.00, 25800
