Date, Open, High, Low, Close, Volume
04/05/22, 2.18, 2.41, 2.18, 2.18, 50200
04/04/22, 2.45, 2.45, 2.40, 2.41, 26200
04/01/22, 2.45, 2.45, 2.45, 2.45, 7100
03/31/22, 2.51, 2.51, 2.45, 2.46, 10000
03/30/22, 2.51, 2.51, 2.51, 2.51, 10400
03/29/22, 2.51, 2.51, 2.51, 2.51, 8600
03/28/22, 2.68, 2.68, 2.45, 2.47, 19300
03/25/22, 2.50, 2.50, 2.50, 2.50, 28100
03/24/22, 2.50, 2.64, 2.50, 2.51, 5200
03/23/22, 2.65, 2.65, 2.65, 2.65, 7400
03/22/22, 2.45, 2.65, 2.45, 2.53, 500
03/21/22, 2.68, 2.68, 2.40, 2.45, 19000
03/17/22, 2.45, 2.45, 2.45, 2.45, 2400
03/15/22, 2.40, 2.40, 2.40, 2.40, 100
03/14/22, 2.41, 2.66, 2.40, 2.41, 16400
03/11/22, 2.66, 2.66, 2.66, 2.66, 100
03/10/22, 2.69, 2.69, 2.69, 2.69, 500
03/09/22, 2.69, 2.70, 2.69, 2.70, 8800
03/08/22, 2.70, 2.70, 2.70, 2.70, 3700
03/07/22, 2.70, 2.70, 2.50, 2.67, 1300
03/04/22, 2.70, 2.70, 2.70, 2.70, 300
03/03/22, 2.55, 2.66, 2.50, 2.53, 1800
03/02/22, 2.50, 2.55, 2.50, 2.50, 26200
03/01/22, 2.46, 2.55, 2.46, 2.54, 21300
02/28/22, 2.70, 2.70, 2.66, 2.69, 300
02/25/22, 2.50, 2.50, 2.44, 2.46, 4500
02/24/22, 2.50, 2.75, 2.50, 2.65, 4000
02/23/22, 2.70, 2.70, 2.69, 2.70, 700
02/22/22, 2.75, 2.75, 2.43, 2.69, 87800
02/21/22, 2.68, 2.75, 2.65, 2.70, 3200
02/18/22, 2.60, 2.68, 2.60, 2.67, 1400
02/17/22, 2.62, 2.62, 2.40, 2.44, 900
02/16/22, 2.37, 2.62, 2.37, 2.61, 10500
02/15/22, 2.61, 2.62, 2.58, 2.61, 22900
02/14/22, 2.78, 2.78, 2.60, 2.62, 5800
02/11/22, 2.80, 2.82, 2.80, 2.81, 6800
02/08/22, 2.70, 2.82, 2.70, 2.76, 1000
02/07/22, 2.66, 2.66, 2.66, 2.66, 200
02/04/22, 2.80, 2.83, 2.75, 2.77, 1700
02/03/22, 2.66, 2.67, 2.66, 2.66, 800
02/02/22, 2.67, 2.67, 2.67, 2.67, 400
02/01/22, 2.67, 2.67, 2.67, 2.67, 100
01/28/22, 2.84, 2.84, 2.66, 2.67, 5800
01/27/22, 2.65, 2.66, 2.65, 2.66, 1000
01/26/22, 2.86, 2.86, 2.66, 2.66, 37900
01/25/22, 2.70, 2.74, 2.70, 2.74, 5200
01/24/22, 2.74, 2.74, 2.65, 2.71, 3200
01/21/22, 2.74, 2.74, 2.74, 2.74, 8300
01/20/22, 2.61, 2.65, 2.61, 2.65, 59600
01/19/22, 2.54, 2.75, 2.54, 2.54, 5500
01/17/22, 2.54, 2.84, 2.50, 2.52, 12100
01/14/22, 2.75, 2.75, 2.54, 2.61, 131900
01/13/22, 2.70, 2.86, 2.70, 2.75, 1800
01/12/22, 2.68, 2.87, 2.61, 2.74, 3000
01/11/22, 2.78, 2.85, 2.71, 2.82, 9100
01/10/22, 2.70, 2.78, 2.60, 2.68, 7400
01/07/22, 2.81, 2.82, 2.60, 2.78, 600
01/05/22, 2.58, 2.83, 2.58, 2.80, 1800
01/04/22, 2.60, 2.82, 2.60, 2.80, 1300
01/03/22, 2.85, 2.85, 2.85, 2.85, 1500
12/31/21, 2.78, 2.97, 2.78, 2.86, 2500
12/30/21, 2.77, 2.78, 2.77, 2.78, 11000
12/29/21, 2.77, 2.78, 2.77, 2.78, 900
12/28/21, 2.78, 2.78, 2.55, 2.68, 3800
12/24/21, 2.78, 2.78, 2.78, 2.78, 600
12/23/21, 2.78, 2.78, 2.78, 2.78, 300
12/22/21, 2.54, 2.54, 2.54, 2.54, 8500
12/21/21, 2.78, 2.78, 2.70, 2.73, 600
12/20/21, 2.80, 2.80, 2.69, 2.77, 700
12/17/21, 2.80, 2.80, 2.80, 2.80, 17500
12/14/21, 2.90, 2.90, 2.50, 2.69, 3400
12/10/21, 2.70, 2.97, 2.70, 2.75, 1200
12/09/21, 2.70, 2.72, 2.70, 2.70, 5700
12/08/21, 2.70, 2.70, 2.70, 2.70, 2800
12/07/21, 3.00, 3.00, 2.83, 3.00, 34200
12/06/21, 2.85, 3.00, 2.70, 2.89, 86700
12/03/21, 2.88, 2.88, 2.75, 2.77, 7600
12/02/21, 2.89, 2.89, 2.89, 2.89, 100
12/01/21, 2.85, 2.85, 2.60, 2.74, 800
11/30/21, 2.87, 2.87, 2.68, 2.68, 11100
11/29/21, 2.70, 2.70, 2.60, 2.68, 4300
11/26/21, 2.87, 2.87, 2.60, 2.65, 1800
11/25/21, 2.90, 2.90, 2.60, 2.63, 17000
11/24/21, 2.63, 3.14, 2.63, 2.65, 3300
11/23/21, 2.87, 2.87, 2.87, 2.87, 100
11/22/21, 2.61, 2.99, 2.60, 2.61, 7100
11/19/21, 2.71, 2.97, 2.71, 2.85, 4200
11/18/21, 2.71, 2.71, 2.71, 2.71, 4500
11/16/21, 2.71, 2.71, 2.71, 2.71, 2200
11/15/21, 3.00, 3.00, 2.71, 2.89, 4500
11/12/21, 3.00, 3.00, 2.80, 2.99, 21500
11/11/21, 2.70, 3.00, 2.70, 2.99, 18300
11/10/21, 2.99, 3.00, 2.99, 2.99, 2300
11/09/21, 3.00, 3.00, 2.69, 2.81, 20000
11/08/21, 3.00, 3.00, 2.85, 2.97, 500
11/05/21, 3.00, 3.14, 2.95, 3.01, 23900
11/04/21, 3.00, 3.00, 3.00, 3.00, 1400
11/03/21, 3.00, 3.00, 3.00, 3.00, 2400
11/02/21, 3.00, 3.00, 3.00, 3.00, 23700
11/01/21, 3.00, 3.15, 2.80, 2.86, 10300
10/29/21, 3.00, 3.15, 3.00, 3.04, 1100
10/28/21, 3.15, 3.15, 3.00, 3.01, 1300
10/27/21, 3.15, 3.15, 3.00, 3.01, 10900
10/26/21, 3.00, 3.00, 3.00, 3.00, 10400
10/25/21, 3.15, 3.15, 3.15, 3.15, 3600
10/22/21, 3.15, 3.15, 3.00, 3.02, 18200
10/21/21, 3.15, 3.15, 3.05, 3.14, 1200
10/19/21, 3.15, 3.15, 3.00, 3.07, 6200
10/18/21, 3.15, 3.15, 3.00, 3.01, 21600
10/15/21, 3.15, 3.20, 3.13, 3.15, 20800
10/14/21, 3.15, 3.15, 3.00, 3.11, 64300
10/13/21, 3.14, 3.14, 3.14, 3.14, 500
10/12/21, 3.14, 3.14, 3.12, 3.14, 2500
10/08/21, 3.30, 3.30, 3.10, 3.14, 10000
10/07/21, 3.15, 3.50, 3.15, 3.41, 13800
10/06/21, 3.55, 3.55, 3.20, 3.39, 300
10/05/21, 3.26, 3.26, 3.15, 3.25, 26600
10/04/21, 3.50, 3.50, 3.20, 3.26, 3700
10/01/21, 3.42, 3.42, 3.26, 3.42, 11700
09/30/21, 3.20, 3.42, 3.20, 3.26, 700
09/29/21, 3.32, 3.50, 3.30, 3.42, 16900
09/28/21, 3.50, 3.50, 3.50, 3.50, 3000
09/27/21, 3.50, 3.50, 3.25, 3.32, 2900
09/24/21, 3.50, 3.50, 3.50, 3.50, 4000
09/23/21, 3.20, 3.50, 3.20, 3.34, 1400
09/22/21, 3.28, 3.50, 3.00, 3.21, 51000
09/21/21, 3.40, 3.40, 3.14, 3.27, 4200
09/20/21, 3.40, 3.40, 3.40, 3.40, 5000
09/16/21, 3.49, 3.49, 3.40, 3.44, 2700
09/15/21, 3.73, 3.73, 3.49, 3.51, 2000
09/14/21, 3.85, 3.85, 3.49, 3.73, 300
09/13/21, 3.85, 3.85, 3.85, 3.85, 400
09/10/21, 3.50, 3.80, 3.49, 3.54, 3000
09/09/21, 3.80, 3.80, 3.80, 3.80, 100
09/08/21, 3.48, 3.48, 3.48, 3.48, 9900
09/07/21, 3.95, 3.95, 3.45, 3.48, 6000
09/06/21, 3.50, 3.80, 3.50, 3.63, 7400
09/03/21, 3.70, 3.70, 3.49, 3.50, 2500
09/02/21, 3.50, 3.50, 3.50, 3.50, 600
08/31/21, 3.88, 3.88, 3.88, 3.88, 1000
08/30/21, 3.85, 4.00, 3.85, 3.88, 600
08/27/21, 3.85, 3.85, 3.49, 3.67, 200
08/26/21, 3.80, 3.80, 3.48, 3.50, 12600
08/25/21, 3.80, 3.80, 3.80, 3.80, 100
08/24/21, 3.50, 3.50, 3.50, 3.50, 2600
08/23/21, 3.40, 3.50, 3.15, 3.48, 16600
08/20/21, 3.15, 3.45, 3.15, 3.30, 4800
08/19/21, 3.48, 3.48, 3.48, 3.48, 100
08/18/21, 3.45, 3.45, 3.45, 3.45, 1100
08/17/21, 3.15, 3.30, 3.15, 3.29, 2000
08/13/21, 3.30, 3.49, 3.15, 3.17, 10000
08/12/21, 3.30, 3.30, 3.15, 3.18, 500
08/11/21, 3.60, 3.60, 3.37, 3.46, 22000
08/10/21, 3.37, 3.38, 3.37, 3.38, 700
08/09/21, 3.37, 3.40, 3.37, 3.37, 3800
08/05/21, 3.10, 3.50, 3.10, 3.15, 13200
08/04/21, 3.40, 3.50, 3.30, 3.37, 3100
08/03/21, 3.50, 3.50, 3.50, 3.50, 300
08/02/21, 3.50, 3.50, 3.15, 3.33, 400
07/30/21, 3.49, 3.49, 3.49, 3.49, 400
07/29/21, 3.50, 3.50, 3.50, 3.50, 600
07/28/21, 3.65, 3.65, 3.65, 3.65, 400
07/27/21, 3.74, 3.74, 3.74, 3.74, 400
07/26/21, 3.45, 3.74, 3.45, 3.48, 7900
07/23/21, 3.45, 3.45, 3.45, 3.45, 2200
07/22/21, 3.15, 3.15, 3.15, 3.15, 100
07/21/21, 3.15, 3.15, 3.15, 3.15, 4900
