Date, Open, High, Low, Close, Volume
01/06/22, 24.60, 24.60, 24.50, 24.55, 14200
01/05/22, 24.60, 25.00, 24.60, 24.70, 3900
01/04/22, 25.00, 25.00, 24.60, 24.80, 900
01/03/22, 25.00, 25.00, 24.00, 24.50, 400
12/31/21, 25.60, 25.70, 24.00, 25.00, 9800
12/30/21, 25.70, 26.00, 25.70, 25.70, 5300
12/29/21, 25.75, 25.75, 25.70, 25.70, 1600
12/28/21, 25.00, 26.00, 24.00, 25.20, 4100
12/24/21, 25.00, 25.00, 24.85, 24.95, 500
12/23/21, 24.00, 24.00, 24.00, 24.00, 100
12/22/21, 23.75, 24.10, 23.75, 23.95, 1300
12/21/21, 24.00, 24.25, 24.00, 24.10, 300
12/20/21, 23.50, 23.50, 23.50, 23.50, 1600
12/17/21, 23.20, 23.20, 23.20, 23.20, 1400
12/16/21, 23.15, 23.15, 23.15, 23.15, 1000
12/15/21, 24.00, 25.00, 24.00, 24.05, 3200
12/14/21, 24.00, 24.00, 24.00, 24.00, 100
12/10/21, 24.00, 24.50, 23.50, 24.00, 5300
12/09/21, 24.50, 24.50, 24.50, 24.50, 300
12/08/21, 24.50, 24.50, 24.50, 24.50, 400
12/07/21, 24.00, 24.50, 24.00, 24.05, 1400
12/06/21, 24.00, 24.00, 24.00, 24.00, 1400
12/03/21, 25.00, 25.00, 25.00, 25.00, 500
12/02/21, 24.25, 24.25, 24.00, 24.05, 3600
12/01/21, 24.25, 24.25, 23.15, 23.75, 1400
11/30/21, 24.25, 24.25, 24.10, 24.25, 6100
11/29/21, 24.25, 24.25, 24.25, 24.25, 3500
11/26/21, 24.50, 24.50, 24.50, 24.50, 200
11/25/21, 24.25, 24.25, 24.25, 24.25, 1100
11/24/21, 24.50, 24.50, 24.30, 24.45, 600
11/23/21, 24.75, 24.75, 24.30, 24.40, 23700
11/22/21, 24.50, 24.50, 24.30, 24.35, 1200
11/19/21, 24.50, 24.50, 24.30, 24.40, 5400
11/18/21, 24.50, 24.50, 24.50, 24.50, 40300
11/17/21, 24.50, 24.50, 24.50, 24.50, 400
11/15/21, 24.50, 25.00, 24.50, 24.55, 1100
11/12/21, 24.95, 25.40, 24.50, 24.65, 2000
11/11/21, 24.90, 24.90, 24.50, 24.75, 4200
11/10/21, 24.90, 25.00, 24.90, 24.95, 21000
11/09/21, 24.80, 24.90, 24.30, 24.80, 7900
11/08/21, 24.80, 24.80, 24.80, 24.80, 3900
11/05/21, 24.20, 25.00, 24.20, 24.25, 2200
11/04/21, 25.00, 25.00, 24.20, 24.60, 1800
11/03/21, 24.30, 24.70, 24.30, 24.35, 600
11/02/21, 24.25, 24.70, 24.20, 24.45, 2200
11/01/21, 24.70, 24.70, 24.20, 24.25, 5100
10/29/21, 24.70, 24.80, 24.70, 24.70, 42400
10/28/21, 25.00, 25.00, 24.25, 24.45, 900
10/27/21, 24.70, 24.70, 24.25, 24.45, 800
10/26/21, 24.70, 24.70, 24.50, 24.55, 1300
10/25/21, 24.70, 24.70, 24.25, 24.55, 600
10/22/21, 24.25, 24.70, 24.25, 24.30, 6000
10/21/21, 24.25, 24.25, 24.25, 24.25, 1300
10/19/21, 24.50, 24.70, 24.25, 24.65, 108200
10/18/21, 24.65, 24.65, 24.25, 24.30, 9700
10/15/21, 24.05, 24.65, 24.00, 24.45, 4100
10/14/21, 25.00, 25.00, 24.30, 24.65, 6800
10/13/21, 25.00, 25.00, 25.00, 25.00, 700
10/12/21, 25.50, 25.50, 24.30, 24.65, 15300
10/08/21, 25.25, 25.25, 25.25, 25.25, 2600
10/06/21, 25.25, 25.25, 25.25, 25.25, 400
10/05/21, 25.30, 25.30, 25.30, 25.30, 600
10/04/21, 26.00, 26.00, 25.30, 25.50, 2000
10/01/21, 25.60, 25.60, 25.60, 25.60, 200
09/30/21, 25.20, 25.50, 25.20, 25.35, 8200
09/28/21, 25.35, 25.50, 24.85, 25.40, 2400
09/24/21, 24.50, 24.85, 24.50, 24.75, 300
09/23/21, 25.35, 25.35, 24.50, 24.85, 1100
09/22/21, 24.50, 24.50, 24.50, 24.50, 100
09/21/21, 25.50, 25.50, 24.50, 25.35, 3100
09/20/21, 25.50, 25.50, 24.00, 24.05, 34500
09/17/21, 25.50, 25.50, 25.50, 25.50, 200
09/16/21, 25.50, 25.50, 25.50, 25.50, 400
09/15/21, 25.50, 25.50, 25.50, 25.50, 1300
09/14/21, 25.55, 25.85, 25.40, 25.55, 4900
09/13/21, 26.00, 26.00, 25.50, 25.65, 4500
09/10/21, 26.00, 26.00, 25.50, 25.70, 2400
09/09/21, 25.50, 25.50, 25.20, 25.25, 2600
09/08/21, 25.20, 25.25, 25.20, 25.20, 25300
09/07/21, 25.15, 25.15, 25.15, 25.15, 200
09/06/21, 25.00, 25.25, 25.00, 25.05, 2900
09/03/21, 25.30, 25.85, 25.00, 25.15, 2500
09/02/21, 25.50, 25.50, 25.00, 25.05, 5900
09/01/21, 25.50, 25.50, 25.25, 25.30, 1500
08/31/21, 26.00, 26.00, 25.50, 25.80, 1000
08/30/21, 26.00, 26.00, 25.50, 25.55, 5400
08/27/21, 26.00, 26.00, 25.50, 26.00, 9800
08/26/21, 25.50, 25.50, 25.50, 25.50, 2100
08/25/21, 25.15, 25.15, 25.00, 25.15, 2800
08/24/21, 25.75, 25.75, 25.00, 25.15, 25300
08/23/21, 25.20, 27.50, 25.20, 26.00, 40000
08/20/21, 25.00, 25.50, 25.00, 25.20, 9600
08/19/21, 24.50, 24.50, 24.50, 24.50, 1200
08/18/21, 24.50, 25.00, 24.00, 24.30, 1800
08/17/21, 24.50, 24.50, 24.50, 24.50, 100
08/16/21, 24.50, 25.00, 24.50, 24.95, 2300
08/13/21, 24.50, 24.50, 24.50, 24.50, 1700
08/11/21, 24.50, 24.50, 23.50, 23.90, 25900
08/10/21, 24.90, 24.90, 24.00, 24.05, 10300
08/09/21, 25.00, 25.00, 24.90, 24.95, 300
08/06/21, 25.00, 25.00, 24.30, 24.75, 1000
08/05/21, 24.10, 25.00, 24.05, 24.30, 4100
08/04/21, 24.00, 25.00, 24.00, 24.10, 1100
08/03/21, 24.00, 25.00, 24.00, 24.05, 7400
08/02/21, 24.50, 25.30, 23.75, 24.15, 2700
07/30/21, 25.00, 25.30, 24.95, 25.05, 400
07/29/21, 25.00, 25.00, 24.90, 24.95, 2700
07/28/21, 25.00, 25.00, 24.95, 24.95, 3500
07/27/21, 24.95, 25.00, 24.50, 24.65, 6800
07/26/21, 24.95, 24.95, 24.20, 24.60, 600
07/23/21, 24.20, 24.95, 24.20, 24.45, 2300
07/22/21, 24.30, 24.30, 24.30, 24.30, 100
07/21/21, 24.10, 24.95, 24.00, 24.10, 8500
07/19/21, 24.50, 25.00, 24.25, 24.60, 3000
07/16/21, 24.00, 24.00, 24.00, 24.00, 500
07/15/21, 25.00, 25.00, 25.00, 25.00, 6400
07/14/21, 25.00, 25.10, 25.00, 25.05, 15800
07/13/21, 25.10, 25.10, 25.00, 25.05, 300
07/12/21, 25.10, 25.10, 25.00, 25.05, 5800
07/09/21, 25.50, 25.50, 23.50, 24.35, 5600
07/08/21, 24.10, 24.10, 24.00, 24.00, 20000
07/07/21, 25.00, 25.00, 24.10, 24.85, 6400
07/06/21, 24.85, 25.25, 24.85, 25.00, 52400
07/05/21, 24.80, 24.85, 24.00, 24.75, 7100
07/02/21, 24.85, 24.85, 24.65, 24.85, 2000
07/01/21, 24.95, 25.00, 24.00, 24.30, 3000
06/30/21, 25.00, 25.00, 25.00, 25.00, 600
06/28/21, 23.65, 23.65, 23.00, 23.30, 15100
06/25/21, 25.00, 25.00, 25.00, 25.00, 1700
06/24/21, 25.00, 25.00, 25.00, 25.00, 5200
06/23/21, 25.60, 25.60, 25.00, 25.05, 21000
06/22/21, 26.20, 26.20, 25.00, 25.70, 18200
06/21/21, 26.20, 26.20, 26.20, 26.20, 1000
06/18/21, 26.20, 26.20, 25.65, 25.80, 7500
06/17/21, 26.75, 26.75, 26.20, 26.30, 1300
06/16/21, 25.50, 26.20, 25.50, 25.65, 12600
06/15/21, 24.90, 26.00, 24.90, 25.45, 10900
06/14/21, 24.90, 24.90, 23.50, 24.10, 7800
06/11/21, 24.75, 24.90, 24.75, 24.80, 1642500
06/10/21, 24.90, 24.90, 24.80, 24.85, 4200
06/09/21, 25.00, 25.00, 24.75, 24.90, 2700
06/08/21, 24.70, 25.00, 24.70, 24.75, 48700
06/07/21, 26.00, 26.00, 24.70, 24.80, 24400
06/04/21, 24.40, 26.00, 24.40, 25.25, 1300
06/03/21, 25.00, 25.00, 24.30, 24.85, 6500
06/02/21, 24.40, 26.00, 24.00, 24.40, 18700
05/31/21, 24.40, 24.40, 24.40, 24.40, 6500
05/28/21, 23.95, 24.40, 23.95, 24.10, 28600
05/27/21, 23.95, 24.00, 23.95, 23.95, 19600
05/26/21, 23.90, 23.95, 23.60, 23.80, 6500
05/25/21, 23.95, 23.95, 23.95, 23.95, 5100
05/24/21, 23.95, 23.95, 23.60, 23.90, 5900
05/21/21, 24.00, 24.00, 23.60, 24.00, 27000
05/20/21, 24.35, 24.35, 24.00, 24.05, 1500
05/19/21, 24.40, 24.40, 24.00, 24.15, 3000
05/18/21, 23.75, 23.75, 23.50, 23.55, 12500
05/17/21, 24.00, 24.00, 23.50, 23.75, 14300
