Date, Open, High, Low, Close, Volume
12/16/21, 27.65, 27.65, 27.65, 27.65, 1800
12/06/21, 27.65, 27.65, 27.65, 27.65, 1900
11/26/21, 27.55, 27.55, 27.55, 27.55, 100
11/12/21, 28.50, 28.50, 28.50, 28.50, 100
11/02/21, 28.50, 28.50, 28.50, 28.50, 300
10/28/21, 30.00, 30.00, 30.00, 30.00, 300
10/27/21, 30.00, 30.00, 30.00, 30.00, 1000
10/22/21, 30.00, 30.00, 30.00, 30.00, 100
10/12/21, 30.00, 30.00, 30.00, 30.00, 1000
10/07/21, 29.60, 29.60, 29.60, 29.60, 200
10/05/21, 30.00, 30.00, 30.00, 30.00, 1100
09/29/21, 30.00, 30.00, 30.00, 30.00, 2300
09/28/21, 30.00, 30.00, 30.00, 30.00, 800
09/24/21, 30.00, 30.00, 30.00, 30.00, 2900
09/22/21, 30.00, 30.00, 30.00, 30.00, 10700
09/21/21, 30.00, 30.00, 30.00, 30.00, 100
09/06/21, 33.00, 33.00, 32.80, 32.95, 300
09/03/21, 33.00, 33.00, 33.00, 33.00, 100
08/31/21, 33.00, 33.00, 33.00, 33.00, 100
08/30/21, 33.00, 33.00, 33.00, 33.00, 200
08/25/21, 33.50, 33.50, 32.75, 33.15, 900
08/19/21, 32.75, 32.75, 32.75, 32.75, 100
08/18/21, 30.00, 30.00, 30.00, 30.00, 200
08/13/21, 29.05, 29.05, 29.05, 29.05, 500
08/11/21, 31.00, 31.00, 31.00, 31.00, 100
08/04/21, 31.00, 31.00, 31.00, 31.00, 900
08/02/21, 29.40, 29.40, 27.10, 28.30, 800
07/30/21, 30.00, 30.00, 30.00, 30.00, 3300
07/28/21, 29.50, 29.80, 29.00, 29.40, 42500
07/27/21, 29.00, 29.00, 29.00, 29.00, 300
07/26/21, 29.45, 29.50, 29.45, 29.45, 1500
07/23/21, 29.75, 29.75, 29.75, 29.75, 100
07/22/21, 27.20, 27.20, 27.20, 27.20, 100
07/16/21, 27.10, 27.10, 27.10, 27.10, 700
07/15/21, 29.70, 29.70, 29.70, 29.70, 200
07/14/21, 27.10, 27.90, 27.10, 27.80, 1000
07/13/21, 27.20, 27.20, 27.20, 27.20, 500
07/07/21, 27.10, 27.10, 27.10, 27.10, 2800
07/06/21, 27.10, 27.10, 27.10, 27.10, 900
07/05/21, 27.05, 27.10, 27.05, 27.05, 1100
07/01/21, 27.00, 27.00, 27.00, 27.00, 100
06/29/21, 27.80, 27.80, 27.80, 27.80, 200
06/22/21, 27.20, 27.20, 27.20, 27.20, 500
06/16/21, 26.10, 26.10, 26.10, 26.10, 1700
06/15/21, 26.10, 28.70, 26.10, 28.60, 2400
06/10/21, 29.00, 29.00, 29.00, 29.00, 10000
06/07/21, 30.00, 30.00, 30.00, 30.00, 600
06/02/21, 30.00, 30.00, 30.00, 30.00, 300
05/31/21, 28.00, 28.00, 28.00, 28.00, 100
05/28/21, 28.00, 28.00, 28.00, 28.00, 14600
05/27/21, 30.00, 30.00, 30.00, 30.00, 100
05/26/21, 29.00, 29.00, 29.00, 29.00, 700
05/24/21, 28.00, 28.00, 28.00, 28.00, 100
05/21/21, 28.00, 28.00, 28.00, 28.00, 4500
05/17/21, 31.00, 31.00, 31.00, 31.00, 200
05/10/21, 31.80, 31.80, 31.80, 31.80, 100
05/07/21, 31.80, 31.80, 31.80, 31.80, 200
05/04/21, 29.00, 29.00, 29.00, 29.00, 3200
04/26/21, 29.50, 29.50, 29.50, 29.50, 3100
04/21/21, 29.70, 29.70, 29.50, 29.55, 1400
04/20/21, 31.95, 31.95, 30.00, 30.20, 1000
04/19/21, 32.00, 32.00, 32.00, 32.00, 3000
04/16/21, 29.60, 29.60, 29.60, 29.60, 100
04/14/21, 31.05, 31.05, 29.60, 29.70, 2600
04/13/21, 31.05, 31.05, 31.05, 31.05, 100
04/12/21, 29.20, 29.20, 29.20, 29.20, 500
04/08/21, 29.00, 29.00, 29.00, 29.00, 1000
04/01/21, 29.00, 29.00, 29.00, 29.00, 3000
03/30/21, 31.20, 31.50, 29.00, 30.70, 1900
03/29/21, 31.20, 31.20, 29.50, 29.65, 1100
03/26/21, 31.00, 31.00, 31.00, 31.00, 500
03/25/21, 31.00, 31.00, 29.00, 29.05, 3500
03/22/21, 31.00, 31.00, 31.00, 31.00, 100
03/18/21, 31.00, 31.00, 31.00, 31.00, 100
03/16/21, 29.00, 29.00, 29.00, 29.00, 5000
03/12/21, 29.00, 29.00, 29.00, 29.00, 100
03/09/21, 29.00, 29.00, 29.00, 29.00, 1100
03/08/21, 31.00, 31.00, 31.00, 31.00, 100
03/04/21, 31.00, 31.00, 31.00, 31.00, 100
03/02/21, 31.00, 31.00, 31.00, 31.00, 100
02/25/21, 32.00, 32.00, 32.00, 32.00, 100
02/24/21, 29.50, 29.50, 29.00, 29.10, 1600
02/19/21, 29.50, 29.50, 29.50, 29.50, 200
02/18/21, 29.55, 29.55, 29.55, 29.55, 400
02/02/21, 32.00, 32.00, 32.00, 32.00, 300
02/01/21, 32.00, 32.00, 29.50, 31.15, 300
01/28/21, 32.00, 32.00, 32.00, 32.00, 100
01/25/21, 32.00, 32.00, 32.00, 32.00, 400
01/19/21, 31.00, 31.00, 29.50, 29.55, 7200
01/15/21, 32.00, 32.00, 32.00, 32.00, 100
01/13/21, 31.00, 31.00, 31.00, 31.00, 5000
12/29/20, 31.80, 31.80, 31.80, 31.80, 100
12/23/20, 31.50, 31.50, 31.50, 31.50, 400
12/17/20, 31.00, 31.00, 31.00, 31.00, 100
12/14/20, 30.00, 30.00, 30.00, 30.00, 200
12/10/20, 30.00, 30.00, 30.00, 30.00, 100
12/04/20, 31.00, 31.00, 31.00, 31.00, 100
12/03/20, 30.00, 30.50, 30.00, 30.45, 2200
11/26/20, 30.05, 30.05, 30.00, 30.00, 4100
11/04/20, 30.05, 30.05, 30.05, 30.05, 100
10/26/20, 30.00, 30.00, 30.00, 30.00, 6100
10/23/20, 30.00, 30.00, 30.00, 30.00, 1000
10/14/20, 30.65, 30.65, 30.65, 30.65, 100
10/13/20, 32.00, 32.00, 30.00, 30.65, 300
10/12/20, 30.00, 30.00, 30.00, 30.00, 2500
10/08/20, 30.00, 30.00, 30.00, 30.00, 1800
10/06/20, 30.00, 30.00, 30.00, 30.00, 500
10/02/20, 30.00, 30.00, 30.00, 30.00, 300
09/30/20, 30.00, 30.00, 30.00, 30.00, 800
09/29/20, 30.00, 30.00, 30.00, 30.00, 100
09/28/20, 30.00, 30.00, 30.00, 30.00, 1100
09/24/20, 32.00, 32.00, 32.00, 32.00, 200
09/21/20, 32.00, 32.00, 30.00, 30.05, 5700
09/16/20, 30.50, 32.00, 30.50, 30.65, 1100
09/15/20, 30.00, 30.00, 30.00, 30.00, 400
