Date, Open, High, Low, Close, Volume
04/05/22, 135.00, 135.00, 135.00, 135.00, 300
04/04/22, 130.50, 135.00, 130.50, 132.25, 2100
03/31/22, 135.00, 135.00, 135.00, 135.00, 500
03/29/22, 130.50, 130.50, 130.50, 130.50, 100
03/28/22, 135.00, 135.00, 135.00, 135.00, 100
03/25/22, 135.00, 135.00, 135.00, 135.00, 200
03/24/22, 135.00, 135.00, 135.00, 135.00, 400
03/22/22, 135.00, 135.00, 135.00, 135.00, 200
03/21/22, 130.00, 130.00, 130.00, 130.00, 300
03/18/22, 130.00, 130.00, 130.00, 130.00, 100
03/17/22, 135.00, 135.00, 135.00, 135.00, 200
03/09/22, 130.00, 130.00, 130.00, 130.00, 100
03/08/22, 131.00, 131.00, 130.00, 130.00, 127100
03/04/22, 134.75, 134.75, 134.75, 134.75, 400
03/03/22, 131.00, 131.00, 131.00, 131.00, 1200
03/01/22, 131.00, 131.00, 131.00, 131.00, 100
02/25/22, 130.50, 130.50, 130.50, 130.50, 100
02/24/22, 130.50, 130.50, 130.50, 130.50, 900
02/23/22, 136.00, 136.00, 130.50, 134.25, 300
02/17/22, 133.00, 137.00, 133.00, 136.00, 1200
02/15/22, 132.00, 132.00, 125.00, 129.00, 1400
02/14/22, 131.00, 131.00, 131.00, 131.00, 200
02/11/22, 133.00, 133.00, 133.00, 133.00, 100
02/10/22, 134.00, 134.00, 134.00, 134.00, 100
02/09/22, 135.00, 135.00, 135.00, 135.00, 200
02/08/22, 131.00, 131.00, 130.00, 130.00, 27100
02/07/22, 135.00, 135.00, 135.00, 135.00, 2500
02/03/22, 136.00, 136.00, 129.00, 130.25, 6600
01/28/22, 135.00, 135.00, 135.00, 135.00, 300
01/27/22, 132.00, 132.00, 130.00, 130.25, 1500
01/26/22, 137.00, 137.00, 137.00, 137.00, 200
01/24/22, 130.00, 130.00, 130.00, 130.00, 1000
01/21/22, 135.00, 135.00, 135.00, 135.00, 300
01/19/22, 130.00, 130.00, 130.00, 130.00, 5800
01/18/22, 130.25, 130.25, 130.00, 130.00, 1600
01/17/22, 130.25, 130.25, 130.25, 130.25, 700
01/13/22, 130.00, 130.00, 130.00, 130.00, 1800
01/12/22, 130.50, 130.50, 130.00, 130.25, 1300
01/11/22, 130.50, 137.00, 130.50, 134.75, 300
01/10/22, 131.25, 132.00, 131.25, 132.00, 3600
01/07/22, 132.00, 132.00, 132.00, 132.00, 100
01/05/22, 135.00, 135.00, 130.00, 130.75, 1900
01/03/22, 132.00, 132.00, 132.00, 132.00, 15000
12/28/21, 130.00, 130.00, 130.00, 130.00, 100
12/24/21, 130.25, 130.25, 130.25, 130.25, 15000
12/23/21, 135.00, 135.00, 135.00, 135.00, 100
12/22/21, 138.50, 138.50, 138.50, 138.50, 100
12/21/21, 129.00, 129.00, 129.00, 129.00, 700
12/20/21, 138.50, 138.50, 138.50, 138.50, 600
12/07/21, 126.00, 126.00, 126.00, 126.00, 100
12/06/21, 129.25, 129.25, 126.00, 127.00, 400
12/02/21, 130.00, 130.00, 129.00, 129.25, 1000
12/01/21, 128.00, 130.00, 128.00, 129.00, 200
11/30/21, 131.25, 131.25, 130.00, 130.25, 700
11/26/21, 131.00, 131.00, 130.00, 131.00, 2400
11/24/21, 134.00, 134.00, 131.00, 131.75, 1300
11/23/21, 132.00, 132.00, 130.00, 130.50, 400
11/19/21, 134.00, 134.00, 134.00, 134.00, 1000
