Date, Open, High, Low, Close, Volume
01/05/22, 4.10, 4.10, 4.10, 4.10, 200
12/31/21, 4.10, 4.10, 4.10, 4.10, 200
12/29/21, 4.10, 4.10, 4.10, 4.10, 1800
12/28/21, 3.85, 4.10, 3.85, 4.04, 400
12/24/21, 3.85, 3.85, 3.85, 3.85, 800
12/23/21, 3.85, 3.85, 3.85, 3.85, 500
12/22/21, 3.85, 3.85, 3.85, 3.85, 500
12/16/21, 4.15, 4.15, 4.15, 4.15, 100
12/08/21, 4.17, 4.17, 4.17, 4.17, 6200
12/06/21, 4.17, 4.17, 4.17, 4.17, 1000
12/03/21, 4.17, 4.17, 4.17, 4.17, 200
12/02/21, 3.80, 3.80, 3.80, 3.80, 4500
11/29/21, 3.80, 3.80, 3.80, 3.80, 100
11/25/21, 3.80, 3.80, 3.80, 3.80, 100
11/24/21, 3.80, 4.17, 3.80, 4.05, 300
11/22/21, 3.80, 3.80, 3.80, 3.80, 100
11/18/21, 3.80, 3.80, 3.80, 3.80, 100
11/16/21, 3.60, 3.60, 3.50, 3.54, 4100
11/15/21, 3.80, 3.80, 3.80, 3.80, 1000
11/12/21, 3.50, 3.50, 3.50, 3.50, 200
11/11/21, 3.50, 3.50, 3.50, 3.50, 100
11/10/21, 3.80, 3.80, 3.80, 3.80, 2100
11/08/21, 3.80, 3.80, 3.80, 3.80, 2800
11/04/21, 4.20, 4.36, 4.20, 4.22, 800
11/01/21, 3.90, 4.26, 3.90, 4.19, 500
10/29/21, 4.00, 4.00, 4.00, 4.00, 400
10/28/21, 4.00, 4.00, 4.00, 4.00, 200
10/27/21, 3.80, 3.85, 3.16, 3.79, 2300
10/26/21, 3.50, 3.50, 3.50, 3.50, 2000
10/22/21, 3.88, 3.88, 3.88, 3.88, 5000
10/21/21, 3.96, 4.40, 3.96, 4.31, 500
10/19/21, 4.40, 4.40, 4.40, 4.40, 300
10/18/21, 4.40, 4.40, 4.40, 4.40, 100
10/13/21, 4.40, 4.40, 4.40, 4.40, 1100
10/08/21, 4.40, 4.40, 4.40, 4.40, 300
10/07/21, 4.40, 4.40, 4.40, 4.40, 1700
10/06/21, 4.40, 4.40, 4.40, 4.40, 100
10/05/21, 4.39, 4.39, 4.00, 4.21, 2200
10/01/21, 4.39, 4.39, 4.39, 4.39, 300
09/30/21, 4.45, 4.45, 4.45, 4.45, 100
09/23/21, 4.50, 4.50, 4.50, 4.50, 3000
09/21/21, 4.40, 4.75, 4.40, 4.61, 500
09/17/21, 4.40, 4.40, 4.40, 4.40, 400
09/16/21, 4.40, 4.40, 4.40, 4.40, 2200
09/15/21, 4.40, 4.40, 4.40, 4.40, 1100
09/13/21, 4.40, 4.40, 4.40, 4.40, 100
09/10/21, 4.40, 4.40, 4.40, 4.40, 100
09/06/21, 4.00, 4.00, 4.00, 4.00, 200
09/02/21, 4.20, 4.20, 4.20, 4.20, 4100
09/01/21, 4.55, 4.55, 4.55, 4.55, 100
08/30/21, 4.60, 4.60, 4.60, 4.60, 1200
08/27/21, 4.19, 4.19, 4.19, 4.19, 200
08/26/21, 4.17, 4.17, 3.80, 3.81, 3500
08/19/21, 4.14, 4.14, 4.14, 4.14, 100
08/16/21, 4.14, 4.14, 4.14, 4.14, 100
08/13/21, 4.20, 4.20, 4.20, 4.20, 100
08/12/21, 4.15, 4.20, 4.15, 4.20, 53600
08/11/21, 4.10, 4.90, 4.10, 4.59, 2200
08/10/21, 4.50, 4.50, 4.50, 4.50, 1000
08/06/21, 4.50, 4.50, 4.50, 4.50, 500
07/29/21, 4.14, 4.14, 4.14, 4.14, 200
